query	nearest_type_strain	nearest_type_species	mash_dist	call	ncbi_name	revised_species	agrees_with_revision
GCF_018206655.1	GCA_014337255.1	Fusobacterium hominis	0.153298		Fusobacterium sp. DD43	Fusobacterium bovis	
GCF_018206885.1	GCA_014337255.1	Fusobacterium hominis	0.159146		Fusobacterium sp. DD45	Fusobacterium bovis	
GCF_019551945.1	GCA_000292935.1	Fusobacterium hwasookii	0.021189	Fusobacterium hwasookii	Fusobacterium hwasookii	Fusobacterium hwasookii	1
GCF_019552005.1	GCA_000279975.1	Fusobacterium vincentii	0.017665	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_019552045.1	GCA_001457555.1	Fusobacterium polymorphum	0.028497	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_019552065.1	GCA_001457555.1	Fusobacterium polymorphum	0.027060	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_019552085.1	GCA_056823795.1	Fusobacterium animalis	0.030776	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_019552105.1	GCA_056823795.1	Fusobacterium animalis	0.030815	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_019552125.1	GCA_056823795.1	Fusobacterium animalis	0.029367	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_020590195.1	GCA_003019675.1	Fusobacterium ulcerans	0.017606	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_020593925.1	GCA_003019675.1	Fusobacterium ulcerans	0.017576	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_021531475.1	GCA_000622245.1	Fusobacterium perfoetens	0.156865		Fusobacterium perfoetens	Fusobacterium sp. An888	
GCF_021531595.1	GCA_000622245.1	Fusobacterium perfoetens	0.211692		Fusobacterium perfoetens	Fusobacterium sp. An877	
GCF_021531635.1	GCA_900450765.1	Fusobacterium necrogenes	0.089736		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_021531855.1	GCA_900637705.1	Fusobacterium varium	0.011630	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_021532115.1	GCA_900450765.1	Fusobacterium necrogenes	0.089310		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_022340105.1	GCA_056823795.1	Fusobacterium animalis	0.030198	Fusobacterium animalis	Fusobacterium nucleatum	Fusobacterium animalis	1
GCF_022340145.1	GCA_031191795.1	Fusobacterium nucleatum	0.010125	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_022340165.1	GCA_900450795.1	Fusobacterium vincentii	0.019365	Fusobacterium vincentii	Fusobacterium nucleatum	Fusobacterium vincentii	1
GCF_023383525.1	GCA_056823795.1	Fusobacterium animalis	0.035988	Fusobacterium animalis	Fusobacterium nucleatum YWH7054	Fusobacterium animalis	1
GCF_023383545.1	GCA_056823795.1	Fusobacterium animalis	0.036250	Fusobacterium animalis	Fusobacterium nucleatum YWH7053	Fusobacterium animalis	1
GCF_023383575.1	GCA_056823795.1	Fusobacterium animalis	0.033096	Fusobacterium animalis	Fusobacterium nucleatum YWH7055	Fusobacterium animalis	1
GCF_023383605.1	GCA_056823795.1	Fusobacterium animalis	0.035599	Fusobacterium animalis	Fusobacterium nucleatum YWH7056	Fusobacterium animalis	1
GCF_023383645.1	GCA_056823795.1	Fusobacterium animalis	0.036770	Fusobacterium animalis	Fusobacterium nucleatum YWH7199	Fusobacterium animalis	1
GCF_024140205.1	GCA_900450795.1	Fusobacterium vincentii	0.000057	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_024220095.1	GCA_001457555.1	Fusobacterium polymorphum	0.000237	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_026089295.1	GCA_026089295.1	Fusobacterium simiae	0.000000	Fusobacterium simiae	Fusobacterium simiae	Fusobacterium simiae	1
GCF_027666755.1	GCA_900450765.1	Fusobacterium necrogenes	0.090004		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_027669435.1	GCA_900637705.1	Fusobacterium varium	0.011132	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_027672075.1	GCA_900637705.1	Fusobacterium varium	0.012414	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_027682085.1	GCA_001457555.1	Fusobacterium polymorphum	0.028497	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_027692185.1	GCA_014337255.1	Fusobacterium hominis	0.006611	Fusobacterium hominis	Fusobacterium hominis	Fusobacterium hominis	1
GCF_028561705.1	GCA_026089295.1	Fusobacterium simiae	0.016420	Fusobacterium simiae	Fusobacterium simiae	Fusobacterium simiae	1
GCF_028621975.1	GCA_900450795.1	Fusobacterium vincentii	0.018768	Fusobacterium vincentii	Fusobacterium nucleatum	Fusobacterium vincentii	1
GCF_028621995.1	GCA_049381025.1	Fusobacterium watanabei	0.012288	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_028657925.1	GCA_056823795.1	Fusobacterium animalis	0.026027	Fusobacterium animalis	Fusobacterium nucleatum	Fusobacterium animalis	1
GCF_028743415.1	GCA_056823795.1	Fusobacterium animalis	0.031336	Fusobacterium animalis	Fusobacterium nucleatum	Fusobacterium animalis	1
GCF_029894495.1	GCA_003019675.1	Fusobacterium ulcerans	0.016308	Fusobacterium ulcerans	Fusobacterium sp. PH5-7	Fusobacterium ulcerans	1
GCF_030180395.1	GCA_008801775.1	Fusobacterium necrophorum	0.003507	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180405.1	GCA_008801775.1	Fusobacterium necrophorum	0.016197	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180445.1	GCA_008801775.1	Fusobacterium necrophorum	0.015949	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180465.1	GCA_008801775.1	Fusobacterium necrophorum	0.016584	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180475.1	GCA_008801775.1	Fusobacterium necrophorum	0.003026	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180485.1	GCA_008801775.1	Fusobacterium necrophorum	0.015600	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180505.1	GCA_008801775.1	Fusobacterium necrophorum	0.003132	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180545.1	GCA_008801775.1	Fusobacterium necrophorum	0.015954	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180565.1	GCA_008801775.1	Fusobacterium necrophorum	0.016668	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180575.1	GCA_008801775.1	Fusobacterium necrophorum	0.014364	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180585.1	GCA_008801775.1	Fusobacterium necrophorum	0.015992	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180625.1	GCA_008801775.1	Fusobacterium necrophorum	0.015363	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180645.1	GCA_008801775.1	Fusobacterium necrophorum	0.015235	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180665.1	GCA_008801775.1	Fusobacterium necrophorum	0.013282	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180685.1	GCA_008801775.1	Fusobacterium necrophorum	0.015921	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180695.1	GCA_008801775.1	Fusobacterium necrophorum	0.015949	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180725.1	GCA_008801775.1	Fusobacterium necrophorum	0.015508	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180765.1	GCA_008801775.1	Fusobacterium necrophorum	0.018277	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180785.1	GCA_008801775.1	Fusobacterium necrophorum	0.014897	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180805.1	GCA_008801775.1	Fusobacterium necrophorum	0.013340	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180825.1	GCA_008801775.1	Fusobacterium necrophorum	0.016971	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180835.1	GCA_008801775.1	Fusobacterium necrophorum	0.015219	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180865.1	GCA_008801775.1	Fusobacterium necrophorum	0.018264	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180885.1	GCA_008801775.1	Fusobacterium necrophorum	0.015513	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180905.1	GCA_008801775.1	Fusobacterium necrophorum	0.017138	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_030180925.1	GCA_008801775.1	Fusobacterium necrophorum	0.016070	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_031191795.1	GCA_031191795.1	Fusobacterium nucleatum	0.000000	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_035320945.1	GCA_035320945.1	Fusobacterium polymorphum	0.000000	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_035321665.1	GCA_001457555.1	Fusobacterium polymorphum	0.030520	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_035321705.1	GCA_001457555.1	Fusobacterium polymorphum	0.025370	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_035321765.1	GCA_001457555.1	Fusobacterium polymorphum	0.026193	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_035321985.1	GCA_001457555.1	Fusobacterium polymorphum	0.032755	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_036323455.1	GCA_000279975.1	Fusobacterium vincentii	0.017969	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_036867555.1	GCA_900637705.1	Fusobacterium varium	0.002304	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_036907355.1	GCA_900637705.1	Fusobacterium varium	0.011603	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_037031305.1	GCA_001457555.1	Fusobacterium polymorphum	0.029937	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031325.1	GCA_001457555.1	Fusobacterium polymorphum	0.025362	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031345.1	GCA_001457555.1	Fusobacterium polymorphum	0.027242	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031365.1	GCA_001457555.1	Fusobacterium polymorphum	0.031014	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031385.1	GCA_001457555.1	Fusobacterium polymorphum	0.026879	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031405.1	GCA_035320945.1	Fusobacterium polymorphum	0.028910	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031425.1	GCA_001457555.1	Fusobacterium polymorphum	0.025566	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031435.1	GCA_001457555.1	Fusobacterium polymorphum	0.030805	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031465.1	GCA_001457555.1	Fusobacterium polymorphum	0.027434	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031485.1	GCA_001457555.1	Fusobacterium polymorphum	0.025177	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031505.1	GCA_001457555.1	Fusobacterium polymorphum	0.030490	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031525.1	GCA_001457555.1	Fusobacterium polymorphum	0.026294	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031545.1	GCA_001457555.1	Fusobacterium polymorphum	0.029254	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031565.1	GCA_001457555.1	Fusobacterium polymorphum	0.029928	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031585.1	GCA_001457555.1	Fusobacterium polymorphum	0.027857	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031605.1	GCA_001457555.1	Fusobacterium polymorphum	0.027760	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031625.1	GCA_001457555.1	Fusobacterium polymorphum	0.033519	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031645.1	GCA_001457555.1	Fusobacterium polymorphum	0.029937	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031665.1	GCA_001457555.1	Fusobacterium polymorphum	0.023138	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031685.1	GCA_001457555.1	Fusobacterium polymorphum	0.033606	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031705.1	GCA_001457555.1	Fusobacterium polymorphum	0.023212	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031725.1	GCA_001457555.1	Fusobacterium polymorphum	0.033032	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031745.1	GCA_001457555.1	Fusobacterium polymorphum	0.022485	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031765.1	GCA_001457555.1	Fusobacterium polymorphum	0.029679	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031785.1	GCA_001457555.1	Fusobacterium polymorphum	0.025161	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031805.1	GCA_001457555.1	Fusobacterium polymorphum	0.026035	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031825.1	GCA_001457555.1	Fusobacterium polymorphum	0.023227	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031845.1	GCA_001457555.1	Fusobacterium polymorphum	0.028369	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031865.1	GCA_001457555.1	Fusobacterium polymorphum	0.026218	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031885.1	GCA_001457555.1	Fusobacterium polymorphum	0.023227	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031905.1	GCA_035320945.1	Fusobacterium polymorphum	0.026185	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031925.1	GCA_001457555.1	Fusobacterium polymorphum	0.025354	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037031945.1	GCA_035320945.1	Fusobacterium polymorphum	0.026210	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032145.1	GCA_001457555.1	Fusobacterium polymorphum	0.031074	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032165.1	GCA_001457555.1	Fusobacterium polymorphum	0.032670	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032185.1	GCA_001457555.1	Fusobacterium polymorphum	0.027530	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032205.1	GCA_001457555.1	Fusobacterium polymorphum	0.027372	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032225.1	GCA_001457555.1	Fusobacterium polymorphum	0.029556	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032245.1	GCA_001457555.1	Fusobacterium polymorphum	0.033032	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032265.1	GCA_001457555.1	Fusobacterium polymorphum	0.023197	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032275.1	GCA_001457555.1	Fusobacterium polymorphum	0.024810	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032305.1	GCA_001457555.1	Fusobacterium polymorphum	0.029329	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032325.1	GCA_001457555.1	Fusobacterium polymorphum	0.025346	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032345.1	GCA_001457555.1	Fusobacterium polymorphum	0.028379	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032365.1	GCA_001457555.1	Fusobacterium polymorphum	0.027242	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032385.1	GCA_001457555.1	Fusobacterium polymorphum	0.025395	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032405.1	GCA_001457555.1	Fusobacterium polymorphum	0.026361	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032425.1	GCA_001457555.1	Fusobacterium polymorphum	0.026319	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032445.1	GCA_001457555.1	Fusobacterium polymorphum	0.023227	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032465.1	GCA_001457555.1	Fusobacterium polymorphum	0.028388	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032485.1	GCA_001457555.1	Fusobacterium polymorphum	0.026310	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032505.1	GCA_001457555.1	Fusobacterium polymorphum	0.025411	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032525.1	GCA_001457555.1	Fusobacterium polymorphum	0.026210	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032545.1	GCA_001457555.1	Fusobacterium polymorphum	0.030845	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037032565.1	GCA_001457555.1	Fusobacterium polymorphum	0.027636	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037577715.1	GCA_049381025.1	Fusobacterium watanabei	0.010373	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037577975.1	GCA_008801775.1	Fusobacterium necrophorum	0.015460	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_037578495.1	GCA_003019675.1	Fusobacterium ulcerans	0.016839	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_037888955.1	GCA_056823795.1	Fusobacterium animalis	0.030855	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037888965.1	GCA_001457555.1	Fusobacterium polymorphum	0.029423	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037888975.1	GCA_056823795.1	Fusobacterium animalis	0.030598	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037888985.1	GCA_001457555.1	Fusobacterium polymorphum	0.026939	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037888995.1	GCA_056823795.1	Fusobacterium animalis	0.031835	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037889005.1	GCA_031191795.1	Fusobacterium nucleatum	0.009186	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum	Fusobacterium nucleatum	1
GCF_037889015.1	GCA_056823795.1	Fusobacterium animalis	0.031175	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037889025.1	GCA_001457555.1	Fusobacterium polymorphum	0.026118	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037889035.1	GCA_056823795.1	Fusobacterium animalis	0.030726	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037889045.1	GCA_056823795.1	Fusobacterium animalis	0.032145	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037889055.1	GCA_031191795.1	Fusobacterium nucleatum	0.011145	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889065.1	GCA_049381025.1	Fusobacterium watanabei	0.012583	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889075.1	GCA_016724785.1	Fusobacterium canifelinum	0.031447	Fusobacterium canifelinum	Fusobacterium canifelinum	Fusobacterium canifelinum	1
GCF_037889085.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.033453	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_037889095.1	GCA_049381025.1	Fusobacterium watanabei	0.012668	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889105.1	GCA_049381025.1	Fusobacterium watanabei	0.011897	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889115.1	GCA_049381025.1	Fusobacterium watanabei	0.012108	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889125.1	GCA_031191795.1	Fusobacterium nucleatum	0.009282	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889135.1	GCA_049381025.1	Fusobacterium watanabei	0.010861	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889145.1	GCA_049381025.1	Fusobacterium watanabei	0.010680	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889155.1	GCA_049381025.1	Fusobacterium watanabei	0.011264	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889165.1	GCA_049381025.1	Fusobacterium watanabei	0.011906	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889175.1	GCA_031191795.1	Fusobacterium nucleatum	0.009979	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889185.1	GCA_049381025.1	Fusobacterium watanabei	0.011478	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889195.1	GCA_049381025.1	Fusobacterium watanabei	0.011172	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889205.1	GCA_049381025.1	Fusobacterium watanabei	0.012701	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889215.1	GCA_049381025.1	Fusobacterium watanabei	0.011698	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889225.1	GCA_049381025.1	Fusobacterium watanabei	0.012358	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889235.1	GCA_031191795.1	Fusobacterium nucleatum	0.010901	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889245.1	GCA_049381025.1	Fusobacterium watanabei	0.011938	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889255.1	GCA_055694045.1	Fusobacterium abscessus	0.019391	Fusobacterium abscessus	Fusobacterium nucleatum	Fusobacterium nucleatum	0
GCF_037889265.1	GCA_049381025.1	Fusobacterium watanabei	0.008289	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889275.1	GCA_056823795.1	Fusobacterium animalis	0.033356	Fusobacterium animalis	Fusobacterium nucleatum	Fusobacterium animalis	1
GCF_037889285.1	GCA_031191795.1	Fusobacterium nucleatum	0.010896	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889295.1	GCA_008801775.1	Fusobacterium necrophorum	0.016053	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_037889305.1	GCA_900637705.1	Fusobacterium varium	0.011916	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_037889315.1	GCA_055694045.1	Fusobacterium abscessus	0.019442	Fusobacterium abscessus	Fusobacterium nucleatum	Fusobacterium nucleatum	0
GCF_037889325.1	GCA_031191795.1	Fusobacterium nucleatum	0.011036	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889335.1	GCA_049381025.1	Fusobacterium watanabei	0.009695	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889345.1	GCA_049381025.1	Fusobacterium watanabei	0.010577	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889355.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.026235	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_037889365.1	GCA_049381025.1	Fusobacterium watanabei	0.010996	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037889375.1	GCA_031191795.1	Fusobacterium nucleatum	0.011084	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037889385.1	GCA_055694045.1	Fusobacterium abscessus	0.019544	Fusobacterium abscessus	Fusobacterium nucleatum	Fusobacterium nucleatum	0
GCF_037890135.1	GCA_055694045.1	Fusobacterium abscessus	0.018564	Fusobacterium abscessus	Fusobacterium nucleatum	Fusobacterium nucleatum	0
GCF_037893335.1	GCA_056823795.1	Fusobacterium animalis	0.032979	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037893545.1	GCA_900450795.1	Fusobacterium vincentii	0.019352	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_037893695.1	GCA_001457555.1	Fusobacterium polymorphum	0.025492	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037893865.1	GCA_001457555.1	Fusobacterium polymorphum	0.023723	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037895375.1	GCA_900450795.1	Fusobacterium vincentii	0.015883	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
