acc_a	acc_b	class	genus_a	genus_b	n_bbh	aai	prot_dist
GCA_013409785.1	GCA_900100925.1	inter_genus	Microbacterium	Actinopolyspora	1004	51.4121	0.469856
GCA_012972675.1	GCA_019334345.1	inter_genus	Pontixanthobacter	Neohoeflea	889	51.3916	
GCA_009827455.1	GCA_041537905.1	inter_genus	Pontixanthobacter	Ruegeria	932	51.3545	
GCA_025960885.1	GCA_900100925.1	inter_genus	Microbacterium	Actinopolyspora	1024	51.3370	0.443122
GCA_009827395.1	GCA_015999335.1	inter_genus	Pontixanthobacter	Tabrizicola	871	51.3305	
GCA_009827455.1	GCA_011008935.1	inter_genus	Pontixanthobacter	Tabrizicola	862	51.3139	
GCA_000970675.1	GCA_001437435.1	inter_genus	Domibacillus	Furfurilactobacillus	629	51.2906	
GCA_012972675.1	GCA_013328815.1	inter_genus	Pontixanthobacter	Tabrizicola	871	51.2836	
GCA_011008935.1	GCA_034424525.1	inter_genus	Tabrizicola	Sphingobium	1097	51.2805	
GCA_000966185.1	GCA_001437435.1	inter_genus	Domibacillus	Furfurilactobacillus	637	51.2419	
GCA_009827455.1	GCA_019334345.1	inter_genus	Pontixanthobacter	Neohoeflea	911	51.2158	
GCA_009827455.1	GCA_015999335.1	inter_genus	Pontixanthobacter	Tabrizicola	864	51.2074	
GCA_009827395.1	GCA_011008935.1	inter_genus	Pontixanthobacter	Tabrizicola	881	51.1725	
GCA_009828095.1	GCA_011008935.1	inter_genus	Pontixanthobacter	Tabrizicola	876	51.1590	
GCA_012972675.1	GCA_041537905.1	inter_genus	Pontixanthobacter	Ruegeria	937	51.1313	
GCA_043556415.1	GCA_900100925.1	inter_genus	Microbacterium	Actinopolyspora	884	51.1205	0.493985
GCA_009828095.1	GCA_041537905.1	inter_genus	Pontixanthobacter	Ruegeria	951	51.0964	
GCA_003574395.1	GCA_009828095.1	inter_genus	Tabrizicola	Pontixanthobacter	894	51.0956	
GCA_003574395.1	GCA_012972675.1	inter_genus	Tabrizicola	Pontixanthobacter	875	51.0685	
GCA_009828095.1	GCA_015999335.1	inter_genus	Pontixanthobacter	Tabrizicola	884	51.0296	
GCA_011008935.1	GCA_012972675.1	inter_genus	Tabrizicola	Pontixanthobacter	878	50.9899	
GCA_012972675.1	GCA_015999335.1	inter_genus	Pontixanthobacter	Tabrizicola	881	50.8973	
GCA_034424525.1	GCA_041537905.1	inter_genus	Sphingobium	Ruegeria	1129	50.8560	0.477439
GCA_001437435.1	GCA_001906925.1	inter_genus	Furfurilactobacillus	Domibacillus	610	50.8169	
GCA_000338295.1	GCA_009720525.1	inter_genus	Rhodopirellula	Gimesia	1618	50.7186	0.431489
GCA_001437435.1	GCA_008973485.1	inter_genus	Furfurilactobacillus	Psychrobacillus	621	50.6802	
GCA_001437435.1	GCA_001643235.1	inter_genus	Furfurilactobacillus	Domibacillus	639	50.6460	
GCA_002727185.1	GCA_009720525.1	inter_genus	Rhodopirellula	Gimesia	1636	50.5792	0.431489
GCA_001437435.1	GCA_030814065.1	inter_genus	Furfurilactobacillus	Mesobacillus	655	50.5412	
GCA_002727185.1	GCA_007754425.1	inter_genus	Rhodopirellula	Gimesia	1605	50.4512	0.462668
GCA_000196115.1	GCA_007754425.1	inter_genus	Rhodopirellula	Gimesia	1598	50.4486	0.462668
GCA_000181475.1	GCA_002727185.1	inter_genus	Gimesia	Rhodopirellula	1623	50.4408	0.443122
GCA_009720525.1	GCA_020966775.1	inter_genus	Gimesia	Rhodopirellula	1519	50.4323	0.437182
GCA_000338295.1	GCA_007754425.1	inter_genus	Rhodopirellula	Gimesia	1596	50.4004	0.443122
GCA_000196115.1	GCA_009720525.1	inter_genus	Rhodopirellula	Gimesia	1599	50.3947	0.455838
GCA_000181475.1	GCA_000196115.1	inter_genus	Gimesia	Rhodopirellula	1615	50.3904	0.462668
GCA_000181475.1	GCA_000338295.1	inter_genus	Gimesia	Rhodopirellula	1598	50.3720	0.431489
GCA_000181475.1	GCA_020966775.1	inter_genus	Gimesia	Rhodopirellula	1506	50.3713	0.469856
GCA_007754425.1	GCA_020966775.1	inter_genus	Gimesia	Rhodopirellula	1513	50.2699	0.455838
GCA_000338295.1	GCA_007748195.1	inter_genus	Rhodopirellula	Gimesia	1517	50.1966	0.455838
GCA_000196115.1	GCA_007748195.1	inter_genus	Rhodopirellula	Gimesia	1527	50.1921	0.485465
GCA_001437435.1	GCA_003254155.1	inter_genus	Furfurilactobacillus	Psychrobacillus	614	50.1831	
GCA_000292245.2	GCA_001437435.1	inter_genus	Alkalihalobacillus	Furfurilactobacillus	607	50.1680	
GCA_001437435.1	GCA_020734105.1	inter_genus	Furfurilactobacillus	Alkalihalobacillus	587	50.1513	
GCA_001437435.1	GCA_006861775.1	inter_genus	Furfurilactobacillus	Psychrobacillus	639	50.1444	
GCA_001437435.1	GCA_006861795.1	inter_genus	Furfurilactobacillus	Psychrobacillus	643	50.1437	
GCA_001437435.1	GCA_028610675.1	inter_genus	Furfurilactobacillus	Alkalihalobacillus	612	50.1294	
GCA_007748195.1	GCA_020966775.1	inter_genus	Gimesia	Rhodopirellula	1463	50.0630	0.449332
GCA_001437435.1	GCA_047302405.1	inter_genus	Furfurilactobacillus	Alkalihalobacillus	624	50.0425	
GCA_002727185.1	GCA_007748195.1	inter_genus	Rhodopirellula	Gimesia	1554	50.0205	0.469856
GCA_014212135.1	GCA_900636385.1	inter_genus	Cohnella	Staphylococcus	893	49.9054	
GCA_001437435.1	GCA_042656585.1	inter_genus	Furfurilactobacillus	Thalassorhabdus	583	49.8777	
GCA_001437435.1	GCA_900636385.1	inter_genus	Furfurilactobacillus	Staphylococcus	601	49.3624	
GCA_001437435.1	GCA_014212135.1	inter_genus	Furfurilactobacillus	Cohnella	598	47.9599	
GCA_003597125.1	GCA_009827395.1	inter_genus	Alcanivorax	Pontixanthobacter	689	47.0313	
GCA_000009365.1	GCA_009827395.1	inter_genus	Alcanivorax	Pontixanthobacter	660	46.9833	
GCA_000756655.1	GCA_009827395.1	inter_genus	Alcanivorax	Pontixanthobacter	690	46.9081	
GCA_009601165.1	GCA_009827395.1	inter_genus	Alcanivorax	Pontixanthobacter	693	46.9007	
GCA_000756655.1	GCA_009828095.1	inter_genus	Alcanivorax	Pontixanthobacter	695	46.8919	
GCA_003597125.1	GCA_009828095.1	inter_genus	Alcanivorax	Pontixanthobacter	691	46.8764	
GCA_001639725.1	GCA_019334345.1	inter_genus	Marinomonas	Neohoeflea	792	46.8694	
GCA_000009365.1	GCA_034424525.1	inter_genus	Alcanivorax	Sphingobium	754	46.8326	
GCA_003597125.1	GCA_009827455.1	inter_genus	Alcanivorax	Pontixanthobacter	693	46.7967	
GCA_009601165.1	GCA_034424525.1	inter_genus	Alcanivorax	Sphingobium	766	46.7662	
GCA_000756655.1	GCA_009827455.1	inter_genus	Alcanivorax	Pontixanthobacter	694	46.7476	
GCA_003597125.1	GCA_013328815.1	inter_genus	Alcanivorax	Tabrizicola	715	46.7074	
GCA_003574395.1	GCA_003597125.1	inter_genus	Tabrizicola	Alcanivorax	690	46.7072	
GCA_000009365.1	GCA_009828095.1	inter_genus	Alcanivorax	Pontixanthobacter	665	46.6973	
GCA_003597125.1	GCA_034424525.1	inter_genus	Alcanivorax	Sphingobium	776	46.6865	
GCA_001639725.1	GCA_003574395.1	inter_genus	Marinomonas	Tabrizicola	798	46.6797	
GCA_003597125.1	GCA_012972675.1	inter_genus	Alcanivorax	Pontixanthobacter	704	46.6680	
GCA_000756655.1	GCA_012972675.1	inter_genus	Alcanivorax	Pontixanthobacter	706	46.6649	
GCA_009601165.1	GCA_009828095.1	inter_genus	Alcanivorax	Pontixanthobacter	708	46.6573	
GCA_009601165.1	GCA_012972675.1	inter_genus	Alcanivorax	Pontixanthobacter	699	46.6451	
GCA_003597125.1	GCA_019334345.1	inter_genus	Alcanivorax	Neohoeflea	729	46.6273	
GCA_001639725.1	GCA_041537905.1	inter_genus	Marinomonas	Ruegeria	929	46.6064	
GCA_009601165.1	GCA_041537905.1	inter_genus	Alcanivorax	Ruegeria	814	46.5905	
GCA_003597125.1	GCA_041537905.1	inter_genus	Alcanivorax	Ruegeria	828	46.5839	
GCA_009601165.1	GCA_009827455.1	inter_genus	Alcanivorax	Pontixanthobacter	703	46.5472	
GCA_000756655.1	GCA_019334345.1	inter_genus	Alcanivorax	Neohoeflea	723	46.5422	
GCA_009601165.1	GCA_019334345.1	inter_genus	Alcanivorax	Neohoeflea	709	46.5409	
GCA_000756655.1	GCA_034424525.1	inter_genus	Alcanivorax	Sphingobium	789	46.5374	
GCA_000009365.1	GCA_041537905.1	inter_genus	Alcanivorax	Ruegeria	799	46.5337	
GCA_000009365.1	GCA_009827455.1	inter_genus	Alcanivorax	Pontixanthobacter	669	46.5251	
GCA_009601165.1	GCA_015999335.1	inter_genus	Alcanivorax	Tabrizicola	714	46.5216	
GCA_000009365.1	GCA_019334345.1	inter_genus	Alcanivorax	Neohoeflea	703	46.5092	
GCA_000009365.1	GCA_003574395.1	inter_genus	Alcanivorax	Tabrizicola	692	46.4660	
GCA_003574395.1	GCA_009601165.1	inter_genus	Tabrizicola	Alcanivorax	697	46.4532	
GCA_009601165.1	GCA_013328815.1	inter_genus	Alcanivorax	Tabrizicola	729	46.4520	
GCA_000009365.1	GCA_012972675.1	inter_genus	Alcanivorax	Pontixanthobacter	684	46.4452	
GCA_000756655.1	GCA_041537905.1	inter_genus	Alcanivorax	Ruegeria	815	46.4307	
GCA_001639725.1	GCA_015999335.1	inter_genus	Marinomonas	Tabrizicola	839	46.4232	
GCA_000756655.1	GCA_003574395.1	inter_genus	Alcanivorax	Tabrizicola	698	46.3974	
GCA_000009365.1	GCA_013328815.1	inter_genus	Alcanivorax	Tabrizicola	714	46.3717	
GCA_001639725.1	GCA_011008935.1	inter_genus	Marinomonas	Tabrizicola	813	46.3680	
GCA_003597125.1	GCA_011008935.1	inter_genus	Alcanivorax	Tabrizicola	708	46.3614	
GCA_001639725.1	GCA_013328815.1	inter_genus	Marinomonas	Tabrizicola	859	46.3302	
GCA_001639725.1	GCA_034424525.1	inter_genus	Marinomonas	Sphingobium	761	46.3223	
GCA_001639725.1	GCA_009827395.1	inter_genus	Marinomonas	Pontixanthobacter	601	46.3186	
GCA_003597125.1	GCA_015999335.1	inter_genus	Alcanivorax	Tabrizicola	717	46.2989	
GCA_000009365.1	GCA_011008935.1	inter_genus	Alcanivorax	Tabrizicola	695	46.2783	
GCA_000756655.1	GCA_013328815.1	inter_genus	Alcanivorax	Tabrizicola	710	46.2500	
GCA_000756655.1	GCA_015999335.1	inter_genus	Alcanivorax	Tabrizicola	725	46.2247	
GCA_009601165.1	GCA_011008935.1	inter_genus	Alcanivorax	Tabrizicola	717	46.2063	
GCA_000756655.1	GCA_011008935.1	inter_genus	Alcanivorax	Tabrizicola	711	46.0987	
GCA_001639725.1	GCA_009828095.1	inter_genus	Marinomonas	Pontixanthobacter	607	46.0843	
GCA_001639725.1	GCA_009827455.1	inter_genus	Marinomonas	Pontixanthobacter	609	46.0486	
GCA_000009365.1	GCA_015999335.1	inter_genus	Alcanivorax	Tabrizicola	731	45.9278	
GCA_001639725.1	GCA_012972675.1	inter_genus	Marinomonas	Pontixanthobacter	619	45.9191	
GCA_001906925.1	GCA_003597125.1	inter_genus	Domibacillus	Alcanivorax	492	45.2591	
GCA_000009365.1	GCA_000970675.1	inter_genus	Alcanivorax	Domibacillus	505	45.2301	
GCA_000009365.1	GCA_001906925.1	inter_genus	Alcanivorax	Domibacillus	498	45.1191	
GCA_001906925.1	GCA_009601165.1	inter_genus	Domibacillus	Alcanivorax	497	45.1155	
GCA_000009365.1	GCA_000966185.1	inter_genus	Alcanivorax	Domibacillus	521	45.0762	
GCA_000970675.1	GCA_009601165.1	inter_genus	Domibacillus	Alcanivorax	515	45.0266	
GCA_009601165.1	GCA_014212135.1	inter_genus	Alcanivorax	Cohnella	549	45.0137	
GCA_000009365.1	GCA_001643235.1	inter_genus	Alcanivorax	Domibacillus	500	44.9972	
GCA_000756655.1	GCA_000970675.1	inter_genus	Alcanivorax	Domibacillus	507	44.9817	
GCA_000970675.1	GCA_003597125.1	inter_genus	Domibacillus	Alcanivorax	527	44.9814	
GCA_000756655.1	GCA_001906925.1	inter_genus	Alcanivorax	Domibacillus	504	44.9629	
GCA_000966185.1	GCA_003597125.1	inter_genus	Domibacillus	Alcanivorax	539	44.9137	
GCA_003597125.1	GCA_030814065.1	inter_genus	Alcanivorax	Mesobacillus	514	44.8854	
GCA_000756655.1	GCA_001643235.1	inter_genus	Alcanivorax	Domibacillus	507	44.8696	
GCA_003597125.1	GCA_014212135.1	inter_genus	Alcanivorax	Cohnella	560	44.8680	
GCA_000009365.1	GCA_000292245.2	inter_genus	Alcanivorax	Alkalihalobacillus	511	44.8376	
GCA_001643235.1	GCA_003597125.1	inter_genus	Domibacillus	Alcanivorax	502	44.8289	
GCA_000009365.1	GCA_016481275.1	inter_genus	Alcanivorax	Antrihabitans	583	44.8278	
GCA_000009365.1	GCA_042656585.1	inter_genus	Alcanivorax	Thalassorhabdus	548	44.8146	
GCA_000009365.1	GCA_020734105.1	inter_genus	Alcanivorax	Alkalihalobacillus	566	44.7996	
GCA_000756655.1	GCA_014212135.1	inter_genus	Alcanivorax	Cohnella	562	44.7936	
GCA_000009365.1	GCA_030814065.1	inter_genus	Alcanivorax	Mesobacillus	519	44.7836	
GCA_000009365.1	GCA_014212135.1	inter_genus	Alcanivorax	Cohnella	546	44.7832	
GCA_001643235.1	GCA_009601165.1	inter_genus	Domibacillus	Alcanivorax	505	44.7768	
GCA_000292245.2	GCA_003597125.1	inter_genus	Alkalihalobacillus	Alcanivorax	512	44.7461	
GCA_000009365.1	GCA_012932915.1	inter_genus	Alcanivorax	Antrihabitans	578	44.7453	
GCA_003597125.1	GCA_042656585.1	inter_genus	Alcanivorax	Thalassorhabdus	556	44.7453	
GCA_003254155.1	GCA_009601165.1	inter_genus	Psychrobacillus	Alcanivorax	490	44.7322	
GCA_009601165.1	GCA_043944905.1	inter_genus	Alcanivorax	Antrihabitans	597	44.7203	
GCA_000009365.1	GCA_043944905.1	inter_genus	Alcanivorax	Antrihabitans	565	44.6922	
GCA_003597125.1	GCA_043944905.1	inter_genus	Alcanivorax	Antrihabitans	610	44.6911	
GCA_000966185.1	GCA_009601165.1	inter_genus	Domibacillus	Alcanivorax	551	44.6813	
GCA_000009365.1	GCA_008297975.1	inter_genus	Alcanivorax	Antrihabitans	542	44.6793	
GCA_003597125.1	GCA_016481275.1	inter_genus	Alcanivorax	Antrihabitans	642	44.6737	
GCA_000292245.2	GCA_009601165.1	inter_genus	Alkalihalobacillus	Alcanivorax	526	44.6627	
GCA_001906925.1	GCA_012932915.1	inter_genus	Domibacillus	Antrihabitans	519	44.6170	
GCA_001906925.1	GCA_043944905.1	inter_genus	Domibacillus	Antrihabitans	528	44.6134	
GCA_009601165.1	GCA_030814065.1	inter_genus	Alcanivorax	Mesobacillus	524	44.6002	
GCA_000756655.1	GCA_042656585.1	inter_genus	Alcanivorax	Thalassorhabdus	563	44.5956	
GCA_000756655.1	GCA_012932915.1	inter_genus	Alcanivorax	Antrihabitans	615	44.5862	
GCA_003597125.1	GCA_020734105.1	inter_genus	Alcanivorax	Alkalihalobacillus	576	44.5769	
GCA_009601165.1	GCA_009720525.1	inter_genus	Alcanivorax	Gimesia	554	44.5769	
GCA_000756655.1	GCA_030814065.1	inter_genus	Alcanivorax	Mesobacillus	538	44.5714	
GCA_009601165.1	GCA_047302405.1	inter_genus	Alcanivorax	Alkalihalobacillus	547	44.5616	
GCA_000292245.2	GCA_042654505.1	inter_genus	Alkalihalobacillus	Epilithonimonas	481	44.5570	
GCA_009601165.1	GCA_042656585.1	inter_genus	Alcanivorax	Thalassorhabdus	552	44.5563	
GCA_000756655.1	GCA_000966185.1	inter_genus	Alcanivorax	Domibacillus	541	44.5372	
GCA_000009365.1	GCA_003254155.1	inter_genus	Alcanivorax	Psychrobacillus	490	44.5298	
GCA_000009365.1	GCA_047302405.1	inter_genus	Alcanivorax	Alkalihalobacillus	539	44.5096	
GCA_003597125.1	GCA_006861775.1	inter_genus	Alcanivorax	Psychrobacillus	521	44.5019	
GCA_000292245.2	GCA_001639725.1	inter_genus	Alkalihalobacillus	Marinomonas	579	44.4934	
GCA_009601165.1	GCA_012932915.1	inter_genus	Alcanivorax	Antrihabitans	618	44.4934	
GCA_001639725.1	GCA_014212135.1	inter_genus	Marinomonas	Cohnella	607	44.4880	
GCA_006861775.1	GCA_009601165.1	inter_genus	Psychrobacillus	Alcanivorax	519	44.4855	
GCA_000154725.1	GCA_001906925.1	inter_genus	Kordia	Domibacillus	436	44.4823	
GCA_000009365.1	GCA_008973485.1	inter_genus	Alcanivorax	Psychrobacillus	473	44.4801	
GCA_009601165.1	GCA_020966775.1	inter_genus	Alcanivorax	Rhodopirellula	501	44.4800	
GCA_003597125.1	GCA_012932915.1	inter_genus	Alcanivorax	Antrihabitans	638	44.4727	
GCA_009601165.1	GCA_016481275.1	inter_genus	Alcanivorax	Antrihabitans	620	44.4713	
GCA_000292245.2	GCA_000756655.1	inter_genus	Alkalihalobacillus	Alcanivorax	536	44.4713	
GCA_003054265.1	GCA_030814065.1	inter_genus	Kordia	Mesobacillus	470	44.4666	
GCA_003254155.1	GCA_003597125.1	inter_genus	Psychrobacillus	Alcanivorax	494	44.4658	
GCA_000292245.2	GCA_014651475.1	inter_genus	Alkalihalobacillus	Mesonia	482	44.4604	
GCA_001906925.1	GCA_016481275.1	inter_genus	Domibacillus	Antrihabitans	536	44.4468	
GCA_000292245.2	GCA_004365655.1	inter_genus	Alkalihalobacillus	Epilithonimonas	459	44.4429	
GCA_042656585.1	GCA_043944905.1	inter_genus	Thalassorhabdus	Antrihabitans	563	44.4353	
GCA_003597125.1	GCA_008973485.1	inter_genus	Alcanivorax	Psychrobacillus	474	44.4308	
GCA_016481275.1	GCA_030814065.1	inter_genus	Antrihabitans	Mesobacillus	547	44.4205	
GCA_006861795.1	GCA_009601165.1	inter_genus	Psychrobacillus	Alcanivorax	509	44.4196	
GCA_000756655.1	GCA_020734105.1	inter_genus	Alcanivorax	Alkalihalobacillus	578	44.4159	
GCA_008973485.1	GCA_009601165.1	inter_genus	Psychrobacillus	Alcanivorax	481	44.4148	
GCA_009601165.1	GCA_028610675.1	inter_genus	Alcanivorax	Alkalihalobacillus	537	44.4134	
GCA_000009365.1	GCA_020966775.1	inter_genus	Alcanivorax	Rhodopirellula	487	44.4123	
GCA_000756655.1	GCA_043944905.1	inter_genus	Alcanivorax	Antrihabitans	614	44.4109	
GCA_016481275.1	GCA_042656585.1	inter_genus	Antrihabitans	Thalassorhabdus	562	44.4073	
GCA_001005315.1	GCA_001906925.1	inter_genus	Kordia	Domibacillus	431	44.4032	
GCA_001639725.1	GCA_028610675.1	inter_genus	Marinomonas	Alkalihalobacillus	583	44.3909	
GCA_000338295.1	GCA_009601165.1	inter_genus	Rhodopirellula	Alcanivorax	489	44.3904	
GCA_008297975.1	GCA_009601165.1	inter_genus	Antrihabitans	Alcanivorax	585	44.3894	
GCA_012932915.1	GCA_042656585.1	inter_genus	Antrihabitans	Thalassorhabdus	555	44.3859	
GCA_000756655.1	GCA_016481275.1	inter_genus	Alcanivorax	Antrihabitans	629	44.3838	
GCA_009601165.1	GCA_020734105.1	inter_genus	Alcanivorax	Alkalihalobacillus	573	44.3716	
GCA_003597125.1	GCA_047302405.1	inter_genus	Alcanivorax	Alkalihalobacillus	541	44.3715	
GCA_001906925.1	GCA_003054265.1	inter_genus	Domibacillus	Kordia	434	44.3643	
GCA_001643235.1	GCA_043944905.1	inter_genus	Domibacillus	Antrihabitans	579	44.3639	
GCA_003597125.1	GCA_006861795.1	inter_genus	Alcanivorax	Psychrobacillus	517	44.3538	
GCA_000338295.1	GCA_000756655.1	inter_genus	Rhodopirellula	Alcanivorax	490	44.3494	
GCA_000009365.1	GCA_006861775.1	inter_genus	Alcanivorax	Psychrobacillus	523	44.3430	
GCA_000970675.1	GCA_001639725.1	inter_genus	Domibacillus	Marinomonas	573	44.3424	
GCA_000009365.1	GCA_028610675.1	inter_genus	Alcanivorax	Alkalihalobacillus	533	44.3377	
GCA_001639725.1	GCA_001643235.1	inter_genus	Marinomonas	Domibacillus	544	44.3333	
GCA_000966185.1	GCA_001639725.1	inter_genus	Domibacillus	Marinomonas	616	44.3326	
GCA_001906925.1	GCA_008297975.1	inter_genus	Domibacillus	Antrihabitans	515	44.3272	
GCA_000756655.1	GCA_009720525.1	inter_genus	Alcanivorax	Gimesia	569	44.3250	
GCA_000009365.1	GCA_000338295.1	inter_genus	Alcanivorax	Rhodopirellula	486	44.3202	
GCA_008704535.1	GCA_042656585.1	inter_genus	Streptomyces	Thalassorhabdus	591	44.3191	
GCA_001906925.1	GCA_014651475.1	inter_genus	Domibacillus	Mesonia	446	44.2991	
GCA_003254155.1	GCA_042654505.1	inter_genus	Psychrobacillus	Epilithonimonas	448	44.2897	
GCA_003597125.1	GCA_028610675.1	inter_genus	Alcanivorax	Alkalihalobacillus	534	44.2867	
GCA_009827455.1	GCA_014212135.1	inter_genus	Pontixanthobacter	Cohnella	483	44.2789	
GCA_008704535.1	GCA_014212135.1	inter_genus	Streptomyces	Cohnella	814	44.2722	
GCA_001639725.1	GCA_001906925.1	inter_genus	Marinomonas	Domibacillus	534	44.2669	
GCA_003597125.1	GCA_008297975.1	inter_genus	Alcanivorax	Antrihabitans	602	44.2661	
GCA_003597125.1	GCA_020966775.1	inter_genus	Alcanivorax	Rhodopirellula	497	44.2581	
GCA_003054265.1	GCA_003254155.1	inter_genus	Kordia	Psychrobacillus	441	44.2478	
GCA_003254155.1	GCA_008297975.1	inter_genus	Psychrobacillus	Antrihabitans	528	44.2473	
GCA_003254155.1	GCA_012932915.1	inter_genus	Psychrobacillus	Antrihabitans	536	44.2459	
GCA_000966185.1	GCA_900142325.1	inter_genus	Domibacillus	Epilithonimonas	475	44.2408	
GCA_000966185.1	GCA_042654505.1	inter_genus	Domibacillus	Epilithonimonas	504	44.2407	
GCA_001906925.1	GCA_008704535.1	inter_genus	Domibacillus	Streptomyces	573	44.2358	
GCA_003254155.1	GCA_009828095.1	inter_genus	Psychrobacillus	Pontixanthobacter	439	44.2355	
GCA_001643235.1	GCA_014651475.1	inter_genus	Domibacillus	Mesonia	457	44.2339	
GCA_001639725.1	GCA_042656585.1	inter_genus	Marinomonas	Thalassorhabdus	585	44.2328	
GCA_003254155.1	GCA_042650985.1	inter_genus	Psychrobacillus	Epilithonimonas	453	44.2269	
GCA_030814065.1	GCA_043944905.1	inter_genus	Mesobacillus	Antrihabitans	561	44.2264	
GCA_004365655.1	GCA_008973485.1	inter_genus	Epilithonimonas	Psychrobacillus	433	44.2261	
GCA_000966185.1	GCA_042650985.1	inter_genus	Domibacillus	Epilithonimonas	510	44.2212	
GCA_000756655.1	GCA_028610675.1	inter_genus	Alcanivorax	Alkalihalobacillus	540	44.2202	
GCA_000009365.1	GCA_009720525.1	inter_genus	Alcanivorax	Gimesia	553	44.2174	
GCA_000970675.1	GCA_014651475.1	inter_genus	Domibacillus	Mesonia	452	44.2159	
GCA_001639725.1	GCA_047302405.1	inter_genus	Marinomonas	Alkalihalobacillus	612	44.2155	
GCA_000154725.1	GCA_003254155.1	inter_genus	Kordia	Psychrobacillus	442	44.2154	
GCA_028610675.1	GCA_900142325.1	inter_genus	Alkalihalobacillus	Epilithonimonas	458	44.2140	
GCA_000292245.2	GCA_008297975.1	inter_genus	Alkalihalobacillus	Antrihabitans	561	44.2135	
GCA_000154725.1	GCA_000292245.2	inter_genus	Kordia	Alkalihalobacillus	476	44.2134	
GCA_001906925.1	GCA_009827395.1	inter_genus	Domibacillus	Pontixanthobacter	446	44.2117	
GCA_000009365.1	GCA_000196115.1	inter_genus	Alcanivorax	Rhodopirellula	488	44.2115	
GCA_000292245.2	GCA_042650985.1	inter_genus	Alkalihalobacillus	Epilithonimonas	487	44.2111	
GCA_000756655.1	GCA_008297975.1	inter_genus	Alcanivorax	Antrihabitans	605	44.2094	
GCA_001639725.1	GCA_008973485.1	inter_genus	Marinomonas	Psychrobacillus	527	44.2083	
GCA_000292245.2	GCA_003054265.1	inter_genus	Alkalihalobacillus	Kordia	478	44.2077	
GCA_001005315.1	GCA_030814065.1	inter_genus	Kordia	Mesobacillus	477	44.2055	
GCA_000154725.1	GCA_030814065.1	inter_genus	Kordia	Mesobacillus	467	44.2043	
GCA_001643235.1	GCA_008297975.1	inter_genus	Domibacillus	Antrihabitans	562	44.2037	
GCA_008973485.1	GCA_012932915.1	inter_genus	Psychrobacillus	Antrihabitans	521	44.2012	
GCA_003254155.1	GCA_016481275.1	inter_genus	Psychrobacillus	Antrihabitans	545	44.2004	
GCA_007754425.1	GCA_009601165.1	inter_genus	Gimesia	Alcanivorax	558	44.2002	
GCA_000181475.1	GCA_009601165.1	inter_genus	Gimesia	Alcanivorax	545	44.1974	
GCA_000756655.1	GCA_006861775.1	inter_genus	Alcanivorax	Psychrobacillus	532	44.1964	
GCA_001906925.1	GCA_004365655.1	inter_genus	Domibacillus	Epilithonimonas	419	44.1964	
GCA_001643235.1	GCA_012932915.1	inter_genus	Domibacillus	Antrihabitans	578	44.1941	
GCA_000196115.1	GCA_009601165.1	inter_genus	Rhodopirellula	Alcanivorax	495	44.1887	
GCA_001005315.1	GCA_003254155.1	inter_genus	Kordia	Psychrobacillus	450	44.1860	
GCA_014651475.1	GCA_047302405.1	inter_genus	Mesonia	Alkalihalobacillus	506	44.1860	
GCA_000154725.1	GCA_001643235.1	inter_genus	Kordia	Domibacillus	446	44.1816	
GCA_000966185.1	GCA_004365655.1	inter_genus	Domibacillus	Epilithonimonas	469	44.1810	
GCA_014651475.1	GCA_020734105.1	inter_genus	Mesonia	Alkalihalobacillus	505	44.1798	
GCA_000292245.2	GCA_900142325.1	inter_genus	Alkalihalobacillus	Epilithonimonas	466	44.1790	
GCA_006861795.1	GCA_008704535.1	inter_genus	Psychrobacillus	Streptomyces	611	44.1787	
GCA_009827395.1	GCA_042656585.1	inter_genus	Pontixanthobacter	Thalassorhabdus	453	44.1786	
GCA_001639725.1	GCA_020734105.1	inter_genus	Marinomonas	Alkalihalobacillus	640	44.1772	
GCA_042650985.1	GCA_047302405.1	inter_genus	Epilithonimonas	Alkalihalobacillus	498	44.1753	
GCA_000009365.1	GCA_002727185.1	inter_genus	Alcanivorax	Rhodopirellula	502	44.1739	
GCA_001906925.1	GCA_009827455.1	inter_genus	Domibacillus	Pontixanthobacter	444	44.1730	
GCA_008973485.1	GCA_900142325.1	inter_genus	Psychrobacillus	Epilithonimonas	432	44.1729	
GCA_003254155.1	GCA_009827395.1	inter_genus	Psychrobacillus	Pontixanthobacter	434	44.1719	
GCA_000196115.1	GCA_000756655.1	inter_genus	Rhodopirellula	Alcanivorax	494	44.1717	
GCA_000970675.1	GCA_042654505.1	inter_genus	Domibacillus	Epilithonimonas	463	44.1704	
GCA_000009365.1	GCA_006861795.1	inter_genus	Alcanivorax	Psychrobacillus	514	44.1700	
GCA_000966185.1	GCA_009827395.1	inter_genus	Domibacillus	Pontixanthobacter	470	44.1698	
GCA_002727185.1	GCA_009601165.1	inter_genus	Rhodopirellula	Alcanivorax	509	44.1607	
GCA_000970675.1	GCA_004365655.1	inter_genus	Domibacillus	Epilithonimonas	435	44.1582	
GCA_001639725.1	GCA_030814065.1	inter_genus	Marinomonas	Mesobacillus	580	44.1581	
GCA_000292245.2	GCA_001005315.1	inter_genus	Alkalihalobacillus	Kordia	481	44.1565	
GCA_006861775.1	GCA_042654505.1	inter_genus	Psychrobacillus	Epilithonimonas	469	44.1542	
