bin	source	completeness	contamination	donor	donor_species	nn_dist	nn_dist_acc	nn_dist_ok	nn_cont	nn_cont_acc	nn_cont_ok
GCA_028550555.1~c0.20~g0.10~near.fna	GCA_028550555.1	0.20	0.10	near	absent	0.138079	GCA_016653355.1	True	0.145189	GCA_016653355.1	True
GCA_028550555.1~c0.20~g0.20~far.fna	GCA_028550555.1	0.20	0.20	far	present	0.071589	GCA_001481685.1	False	0.201452	GCA_001481685.1	False
GCA_028550555.1~c0.20~g0.20~far.fna	GCA_028550555.1	0.20	0.20	far	absent	0.153070	GCA_042682915.1	True	0.096081	GCA_016653355.1	True
GCA_028550555.1~c0.20~g0.20~near.fna	GCA_028550555.1	0.20	0.20	near	present	0.094739	GCA_042682915.1	True	0.282157	GCA_042682915.1	True
GCA_028550555.1~c0.20~g0.20~near.fna	GCA_028550555.1	0.20	0.20	near	absent	0.133420	GCA_016653355.1	True	0.145399	GCA_016653355.1	True
GCA_028550555.1~c0.10~g0.00~none.fna	GCA_028550555.1	0.10	0.00	none	present	0.181421	GCA_042682915.1	True	0.104971	GCA_003258805.1	True
GCA_028550555.1~c0.10~g0.00~none.fna	GCA_028550555.1	0.10	0.00	none	absent	0.181421	GCA_042682915.1	True	0.104971	GCA_003258805.1	True
GCA_028550555.1~c0.10~g0.10~far.fna	GCA_028550555.1	0.10	0.10	far	present	0.111609	GCA_001481685.1	False	0.132469	GCA_001481685.1	False
GCA_028550555.1~c0.10~g0.10~far.fna	GCA_028550555.1	0.10	0.10	far	absent	0.183572	GCA_042682915.1	True	0.092993	GCA_003258805.1	True
GCA_028550555.1~c0.10~g0.10~near.fna	GCA_028550555.1	0.10	0.10	near	present	0.147304	GCA_042682915.1	True	0.178943	GCA_042682915.1	True
GCA_028550555.1~c0.10~g0.10~near.fna	GCA_028550555.1	0.10	0.10	near	absent	0.172288	GCA_003258805.1	True	0.124931	GCA_003258805.1	True
GCA_028550555.1~c0.10~g0.20~far.fna	GCA_028550555.1	0.10	0.20	far	present	0.087904	GCA_001481685.1	False	0.205904	GCA_001481685.1	False
GCA_028550555.1~c0.10~g0.20~far.fna	GCA_028550555.1	0.10	0.20	far	absent	0.183572	GCA_042682915.1	True	0.085822	GCA_003258805.1	True
GCA_028550555.1~c0.10~g0.20~near.fna	GCA_028550555.1	0.10	0.20	near	present	0.118728	GCA_042682915.1	True	0.292992	GCA_042682915.1	True
GCA_028550555.1~c0.10~g0.20~near.fna	GCA_028550555.1	0.10	0.20	near	absent	0.160733	GCA_003258805.1	True	0.142721	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.00~none.fna	GCA_042682915.1	1.00	0.00	none	present	0.068974	GCA_003258805.1	True	0.259117	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.00~none.fna	GCA_042682915.1	1.00	0.00	none	absent	0.068974	GCA_003258805.1	True	0.259117	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.10~far.fna	GCA_042682915.1	1.00	0.10	far	present	0.071118	GCA_003258805.1	True	0.234152	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.10~far.fna	GCA_042682915.1	1.00	0.10	far	absent	0.071118	GCA_003258805.1	True	0.234152	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.10~near.fna	GCA_042682915.1	1.00	0.10	near	present	0.057486	GCA_003258805.1	True	0.311765	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.10~near.fna	GCA_042682915.1	1.00	0.10	near	absent	0.102997	GCA_030813915.1	True	0.123326	GCA_030813915.1	True
GCA_042682915.1~c1.00~g0.20~far.fna	GCA_042682915.1	1.00	0.20	far	present	0.058920	GCA_055385215.1	False	0.208569	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.20~far.fna	GCA_042682915.1	1.00	0.20	far	absent	0.073746	GCA_003258805.1	True	0.208569	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.20~near.fna	GCA_042682915.1	1.00	0.20	near	present	0.045226	GCA_003258805.1	True	0.379839	GCA_003258805.1	True
GCA_042682915.1~c1.00~g0.20~near.fna	GCA_042682915.1	1.00	0.20	near	absent	0.103219	GCA_030813915.1	True	0.115425	GCA_030813915.1	True
GCA_042682915.1~c0.90~g0.00~none.fna	GCA_042682915.1	0.90	0.00	none	present	0.071589	GCA_003258805.1	True	0.259991	GCA_016653355.1	True
GCA_042682915.1~c0.90~g0.00~none.fna	GCA_042682915.1	0.90	0.00	none	absent	0.071589	GCA_003258805.1	True	0.259991	GCA_016653355.1	True
GCA_042682915.1~c0.90~g0.10~far.fna	GCA_042682915.1	0.90	0.10	far	present	0.073818	GCA_003258805.1	True	0.233316	GCA_003258805.1	True
GCA_042682915.1~c0.90~g0.10~far.fna	GCA_042682915.1	0.90	0.10	far	absent	0.073818	GCA_003258805.1	True	0.233316	GCA_003258805.1	True
GCA_042682915.1~c0.90~g0.10~near.fna	GCA_042682915.1	0.90	0.10	near	present	0.057927	GCA_003258805.1	True	0.325864	GCA_003258805.1	True
GCA_042682915.1~c0.90~g0.10~near.fna	GCA_042682915.1	0.90	0.10	near	absent	0.106604	GCA_030813915.1	True	0.120771	GCA_030813915.1	True
GCA_042682915.1~c0.90~g0.20~far.fna	GCA_042682915.1	0.90	0.20	far	present	0.058467	GCA_055385215.1	False	0.208154	GCA_016653355.1	True
GCA_042682915.1~c0.90~g0.20~far.fna	GCA_042682915.1	0.90	0.20	far	absent	0.076337	GCA_003258805.1	True	0.208154	GCA_016653355.1	True
GCA_042682915.1~c0.90~g0.20~near.fna	GCA_042682915.1	0.90	0.20	near	present	0.048670	GCA_003258805.1	True	0.371853	GCA_003258805.1	True
GCA_042682915.1~c0.90~g0.20~near.fna	GCA_042682915.1	0.90	0.20	near	absent	0.104571	GCA_030813915.1	True	0.118233	GCA_030813915.1	True
GCA_042682915.1~c0.70~g0.00~none.fna	GCA_042682915.1	0.70	0.00	none	present	0.078744	GCA_003258805.1	True	0.260295	GCA_016653355.1	True
GCA_042682915.1~c0.70~g0.00~none.fna	GCA_042682915.1	0.70	0.00	none	absent	0.078744	GCA_003258805.1	True	0.260295	GCA_016653355.1	True
GCA_042682915.1~c0.70~g0.10~far.fna	GCA_042682915.1	0.70	0.10	far	present	0.081135	GCA_016653355.1	True	0.231570	GCA_016653355.1	True
GCA_042682915.1~c0.70~g0.10~far.fna	GCA_042682915.1	0.70	0.10	far	absent	0.081135	GCA_016653355.1	True	0.231570	GCA_016653355.1	True
GCA_042682915.1~c0.70~g0.10~near.fna	GCA_042682915.1	0.70	0.10	near	present	0.065509	GCA_003258805.1	True	0.320956	GCA_003258805.1	True
GCA_042682915.1~c0.70~g0.10~near.fna	GCA_042682915.1	0.70	0.10	near	absent	0.113823	GCA_030813915.1	True	0.120255	GCA_030813915.1	True
GCA_042682915.1~c0.70~g0.20~far.fna	GCA_042682915.1	0.70	0.20	far	present	0.062953	GCA_055385215.1	False	0.206795	GCA_016653355.1	True
GCA_042682915.1~c0.70~g0.20~far.fna	GCA_042682915.1	0.70	0.20	far	absent	0.083221	GCA_003258805.1	True	0.206795	GCA_016653355.1	True
GCA_042682915.1~c0.70~g0.20~near.fna	GCA_042682915.1	0.70	0.20	near	present	0.052835	GCA_003258805.1	True	0.390807	GCA_003258805.1	True
GCA_042682915.1~c0.70~g0.20~near.fna	GCA_042682915.1	0.70	0.20	near	absent	0.111880	GCA_030813915.1	True	0.116706	GCA_030813915.1	True
GCA_042682915.1~c0.50~g0.00~none.fna	GCA_042682915.1	0.50	0.00	none	present	0.088109	GCA_003258805.1	True	0.267588	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.00~none.fna	GCA_042682915.1	0.50	0.00	none	absent	0.088109	GCA_003258805.1	True	0.267588	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.10~far.fna	GCA_042682915.1	0.50	0.10	far	present	0.090004	GCA_003258805.1	True	0.238359	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.10~far.fna	GCA_042682915.1	0.50	0.10	far	absent	0.090004	GCA_003258805.1	True	0.238359	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.10~near.fna	GCA_042682915.1	0.50	0.10	near	present	0.074505	GCA_003258805.1	True	0.330828	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.10~near.fna	GCA_042682915.1	0.50	0.10	near	absent	0.122255	GCA_028550555.1	True	0.125951	GCA_030813915.1	True
GCA_042682915.1~c0.50~g0.20~far.fna	GCA_042682915.1	0.50	0.20	far	present	0.067702	GCA_055385215.1	False	0.212602	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.20~far.fna	GCA_042682915.1	0.50	0.20	far	absent	0.091709	GCA_003258805.1	True	0.212602	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.20~near.fna	GCA_042682915.1	0.50	0.20	near	present	0.062579	GCA_003258805.1	True	0.391453	GCA_003258805.1	True
GCA_042682915.1~c0.50~g0.20~near.fna	GCA_042682915.1	0.50	0.20	near	absent	0.120456	GCA_030813915.1	True	0.120307	GCA_030813915.1	True
GCA_042682915.1~c0.30~g0.00~none.fna	GCA_042682915.1	0.30	0.00	none	present	0.107168	GCA_003258805.1	True	0.262568	GCA_003258805.1	True
GCA_042682915.1~c0.30~g0.00~none.fna	GCA_042682915.1	0.30	0.00	none	absent	0.107168	GCA_003258805.1	True	0.262568	GCA_003258805.1	True
GCA_042682915.1~c0.30~g0.10~far.fna	GCA_042682915.1	0.30	0.10	far	present	0.108654	GCA_003258805.1	True	0.232468	GCA_016653355.1	True
GCA_042682915.1~c0.30~g0.10~far.fna	GCA_042682915.1	0.30	0.10	far	absent	0.108654	GCA_003258805.1	True	0.232468	GCA_016653355.1	True
GCA_042682915.1~c0.30~g0.10~near.fna	GCA_042682915.1	0.30	0.10	near	present	0.092105	GCA_003258805.1	True	0.331326	GCA_003258805.1	True
GCA_042682915.1~c0.30~g0.10~near.fna	GCA_042682915.1	0.30	0.10	near	absent	0.134616	GCA_030813915.1	True	0.141542	GCA_030813915.1	True
GCA_042682915.1~c0.30~g0.20~far.fna	GCA_042682915.1	0.30	0.20	far	present	0.077621	GCA_055385215.1	False	0.209271	GCA_055385215.1	False
GCA_042682915.1~c0.30~g0.20~far.fna	GCA_042682915.1	0.30	0.20	far	absent	0.110280	GCA_003258805.1	True	0.205811	GCA_016653355.1	True
GCA_042682915.1~c0.30~g0.20~near.fna	GCA_042682915.1	0.30	0.20	near	present	0.078703	GCA_003258805.1	True	0.400818	GCA_003258805.1	True
GCA_042682915.1~c0.30~g0.20~near.fna	GCA_042682915.1	0.30	0.20	near	absent	0.132833	GCA_028550555.1	True	0.133191	GCA_030813915.1	True
GCA_042682915.1~c0.20~g0.00~none.fna	GCA_042682915.1	0.20	0.00	none	present	0.121685	GCA_003258805.1	True	0.271310	GCA_003258805.1	True
GCA_042682915.1~c0.20~g0.00~none.fna	GCA_042682915.1	0.20	0.00	none	absent	0.121685	GCA_003258805.1	True	0.271310	GCA_003258805.1	True
GCA_042682915.1~c0.20~g0.10~far.fna	GCA_042682915.1	0.20	0.10	far	present	0.122370	GCA_003258805.1	True	0.244920	GCA_016653355.1	True
GCA_042682915.1~c0.20~g0.10~far.fna	GCA_042682915.1	0.20	0.10	far	absent	0.122370	GCA_003258805.1	True	0.244920	GCA_016653355.1	True
GCA_042682915.1~c0.20~g0.10~near.fna	GCA_042682915.1	0.20	0.10	near	present	0.105732	GCA_003258805.1	True	0.345954	GCA_003258805.1	True
GCA_042682915.1~c0.20~g0.10~near.fna	GCA_042682915.1	0.20	0.10	near	absent	0.155887	GCA_030813915.1	True	0.126281	GCA_030813915.1	True
GCA_042682915.1~c0.20~g0.20~far.fna	GCA_042682915.1	0.20	0.20	far	present	0.087904	GCA_055385215.1	False	0.217851	GCA_016653355.1	True
GCA_042682915.1~c0.20~g0.20~far.fna	GCA_042682915.1	0.20	0.20	far	absent	0.123300	GCA_016653355.1	True	0.217851	GCA_016653355.1	True
GCA_042682915.1~c0.20~g0.20~near.fna	GCA_042682915.1	0.20	0.20	near	present	0.092332	GCA_003258805.1	True	0.416396	GCA_003258805.1	True
GCA_042682915.1~c0.20~g0.20~near.fna	GCA_042682915.1	0.20	0.20	near	absent	0.151285	GCA_028550555.1	True	0.126248	GCA_030813915.1	True
GCA_042682915.1~c0.10~g0.00~none.fna	GCA_042682915.1	0.10	0.00	none	present	0.152617	GCA_016653355.1	True	0.265880	GCA_016653355.1	True
GCA_042682915.1~c0.10~g0.00~none.fna	GCA_042682915.1	0.10	0.00	none	absent	0.152617	GCA_016653355.1	True	0.265880	GCA_016653355.1	True
GCA_042682915.1~c0.10~g0.10~far.fna	GCA_042682915.1	0.10	0.10	far	present	0.137590	GCA_055385215.1	False	0.228101	GCA_016653355.1	True
GCA_042682915.1~c0.10~g0.10~far.fna	GCA_042682915.1	0.10	0.10	far	absent	0.154223	GCA_016653355.1	True	0.228101	GCA_016653355.1	True
GCA_042682915.1~c0.10~g0.10~near.fna	GCA_042682915.1	0.10	0.10	near	present	0.136788	GCA_003258805.1	True	0.332851	GCA_003258805.1	True
GCA_042682915.1~c0.10~g0.10~near.fna	GCA_042682915.1	0.10	0.10	near	absent	0.175506	GCA_030813915.1	True	0.155068	GCA_030813915.1	True
GCA_042682915.1~c0.10~g0.20~far.fna	GCA_042682915.1	0.10	0.20	far	present	0.104040	GCA_055385215.1	False	0.246782	GCA_055385215.1	False
GCA_042682915.1~c0.10~g0.20~far.fna	GCA_042682915.1	0.10	0.20	far	absent	0.154928	GCA_003258805.1	True	0.202417	GCA_016653355.1	True
GCA_042682915.1~c0.10~g0.20~near.fna	GCA_042682915.1	0.10	0.20	near	present	0.122717	GCA_003258805.1	True	0.405335	GCA_016653355.1	True
GCA_042682915.1~c0.10~g0.20~near.fna	GCA_042682915.1	0.10	0.20	near	absent	0.171602	GCA_028550555.1	True	0.151699	GCA_030813915.1	True
GCA_011947285.1~c1.00~g0.00~none.fna	GCA_011947285.1	1.00	0.00	none	present	0.245371	GCA_018304965.1	False	0.005672	GCA_018304965.1	False
GCA_011947285.1~c1.00~g0.00~none.fna	GCA_011947285.1	1.00	0.00	none	absent	0.245371	GCA_018304965.1	False	0.005672	GCA_018304965.1	False
GCA_011947285.1~c1.00~g0.10~far.fna	GCA_011947285.1	1.00	0.10	far	present	0.089629	GCA_004792515.1	False	0.104942	GCA_004792515.1	False
GCA_011947285.1~c1.00~g0.10~far.fna	GCA_011947285.1	1.00	0.10	far	absent	0.235108	GCA_005145005.1	False	0.005202	GCA_018304965.1	False
GCA_011947285.1~c1.00~g0.10~near.fna	GCA_011947285.1	1.00	0.10	near	present	0.101197	GCA_009497155.1	True	0.106253	GCA_009497155.1	True
GCA_011947285.1~c1.00~g0.20~far.fna	GCA_011947285.1	1.00	0.20	far	present	0.056824	GCA_004792515.1	False	0.202549	GCA_004792515.1	False
GCA_011947285.1~c1.00~g0.20~far.fna	GCA_011947285.1	1.00	0.20	far	absent	0.198488	GCA_053758545.1	False	0.010420	GCA_053758545.1	False
GCA_011947285.1~c1.00~g0.20~near.fna	GCA_011947285.1	1.00	0.20	near	present	0.067977	GCA_009497155.1	True	0.203213	GCA_009497155.1	True
GCA_011947285.1~c0.90~g0.00~none.fna	GCA_011947285.1	0.90	0.00	none	present	0.247037	GCA_018304965.1	False	0.005761	GCA_018304965.1	False
GCA_011947285.1~c0.90~g0.00~none.fna	GCA_011947285.1	0.90	0.00	none	absent	0.247037	GCA_018304965.1	False	0.005761	GCA_018304965.1	False
GCA_011947285.1~c0.90~g0.10~far.fna	GCA_011947285.1	0.90	0.10	far	present	0.092504	GCA_004792515.1	False	0.101711	GCA_004792515.1	False
GCA_011947285.1~c0.90~g0.10~far.fna	GCA_011947285.1	0.90	0.10	far	absent	0.216771	GCA_005145005.1	False	0.007609	GCA_005145005.1	False
GCA_011947285.1~c0.90~g0.10~near.fna	GCA_011947285.1	0.90	0.10	near	present	0.107987	GCA_009497155.1	True	0.096512	GCA_009497155.1	True
GCA_011947285.1~c0.90~g0.20~far.fna	GCA_011947285.1	0.90	0.20	far	present	0.058657	GCA_004792515.1	False	0.200315	GCA_004792515.1	False
GCA_011947285.1~c0.90~g0.20~far.fna	GCA_011947285.1	0.90	0.20	far	absent	0.211692	GCA_005145005.1	False	0.008180	GCA_005145005.1	False
GCA_011947285.1~c0.90~g0.20~near.fna	GCA_011947285.1	0.90	0.20	near	present	0.069355	GCA_009497155.1	True	0.205865	GCA_009497155.1	True
GCA_011947285.1~c0.70~g0.00~none.fna	GCA_011947285.1	0.70	0.00	none	present	0.256381	GCA_018304965.1	False	0.005433	GCA_018304965.1	False
GCA_011947285.1~c0.70~g0.00~none.fna	GCA_011947285.1	0.70	0.00	none	absent	0.256381	GCA_018304965.1	False	0.005433	GCA_018304965.1	False
GCA_011947285.1~c0.70~g0.10~far.fna	GCA_011947285.1	0.70	0.10	far	present	0.091541	GCA_004792515.1	False	0.112439	GCA_004792515.1	False
GCA_011947285.1~c0.70~g0.10~far.fna	GCA_011947285.1	0.70	0.10	far	absent	0.218593	GCA_005145005.1	False	0.007958	GCA_005145005.1	False
GCA_011947285.1~c0.70~g0.10~near.fna	GCA_011947285.1	0.70	0.10	near	present	0.109588	GCA_009497155.1	True	0.105470	GCA_009497155.1	True
GCA_011947285.1~c0.70~g0.20~far.fna	GCA_011947285.1	0.70	0.20	far	present	0.060969	GCA_004792515.1	False	0.205566	GCA_004792515.1	False
GCA_011947285.1~c0.70~g0.20~far.fna	GCA_011947285.1	0.70	0.20	far	absent	0.196126	GCA_005145005.1	False	0.012255	GCA_005145005.1	False
GCA_011947285.1~c0.70~g0.20~near.fna	GCA_011947285.1	0.70	0.20	near	present	0.072862	GCA_009497155.1	True	0.215031	GCA_009497155.1	True
GCA_011947285.1~c0.50~g0.00~none.fna	GCA_011947285.1	0.50	0.00	none	present	0.258493	GCA_042654985.1	False	0.006410	GCA_042654985.1	False
GCA_011947285.1~c0.50~g0.00~none.fna	GCA_011947285.1	0.50	0.00	none	absent	0.258493	GCA_042654985.1	False	0.006410	GCA_042654985.1	False
GCA_011947285.1~c0.50~g0.10~far.fna	GCA_011947285.1	0.50	0.10	far	present	0.102924	GCA_004792515.1	False	0.101063	GCA_004792515.1	False
GCA_011947285.1~c0.50~g0.10~far.fna	GCA_011947285.1	0.50	0.10	far	absent	0.260703	GCA_018304965.1	False	0.005704	GCA_042654985.1	False
GCA_011947285.1~c0.50~g0.10~near.fna	GCA_011947285.1	0.50	0.10	near	present	0.117269	GCA_009497155.1	True	0.108987	GCA_009497155.1	True
GCA_011947285.1~c0.50~g0.20~far.fna	GCA_011947285.1	0.50	0.20	far	present	0.067398	GCA_053758565.1	False	0.202426	GCA_004792515.1	False
GCA_011947285.1~c0.50~g0.20~far.fna	GCA_011947285.1	0.50	0.20	far	absent	0.205675	GCA_005145005.1	False	0.011366	GCA_005145005.1	False
GCA_011947285.1~c0.50~g0.20~near.fna	GCA_011947285.1	0.50	0.20	near	present	0.082768	GCA_009497155.1	True	0.209655	GCA_009497155.1	True
GCA_011947285.1~c0.30~g0.00~none.fna	GCA_011947285.1	0.30	0.00	none	present	0.276697	GCA_018304965.1	False	0.006285	GCA_042654985.1	False
GCA_011947285.1~c0.30~g0.00~none.fna	GCA_011947285.1	0.30	0.00	none	absent	0.276697	GCA_018304965.1	False	0.006285	GCA_042654985.1	False
GCA_011947285.1~c0.30~g0.10~far.fna	GCA_011947285.1	0.30	0.10	far	present	0.109161	GCA_004792515.1	False	0.113427	GCA_004792515.1	False
GCA_011947285.1~c0.30~g0.10~far.fna	GCA_011947285.1	0.30	0.10	far	absent	0.256381	GCA_005145005.1	False	0.006516	GCA_018304965.1	False
GCA_011947285.1~c0.30~g0.10~near.fna	GCA_011947285.1	0.30	0.10	near	present	0.132688	GCA_009497155.1	True	0.110149	GCA_009497155.1	True
GCA_011947285.1~c0.30~g0.20~far.fna	GCA_011947285.1	0.30	0.20	far	present	0.077779	GCA_004792515.1	False	0.206794	GCA_004792515.1	False
GCA_011947285.1~c0.30~g0.20~far.fna	GCA_011947285.1	0.30	0.20	far	absent	0.220489	GCA_005145005.1	False	0.010641	GCA_005145005.1	False
GCA_011947285.1~c0.30~g0.20~near.fna	GCA_011947285.1	0.30	0.20	near	present	0.096530	GCA_009497155.1	True	0.216407	GCA_009497155.1	True
GCA_011947285.1~c0.20~g0.00~none.fna	GCA_011947285.1	0.20	0.00	none	present	0.295981	GCA_018304965.1	False	0.005738	GCA_042654985.1	False
GCA_011947285.1~c0.20~g0.00~none.fna	GCA_011947285.1	0.20	0.00	none	absent	0.295981	GCA_018304965.1	False	0.005738	GCA_042654985.1	False
GCA_011947285.1~c0.20~g0.10~far.fna	GCA_011947285.1	0.20	0.10	far	present	0.118940	GCA_004792515.1	False	0.117176	GCA_004792515.1	False
GCA_011947285.1~c0.20~g0.10~far.fna	GCA_011947285.1	0.20	0.10	far	absent	0.295981	GCA_018304965.1	False	0.005209	GCA_042654985.1	False
GCA_011947285.1~c0.20~g0.10~near.fna	GCA_011947285.1	0.20	0.10	near	present	0.143276	GCA_009497155.1	True	0.118629	GCA_009497155.1	True
GCA_011947285.1~c0.20~g0.20~far.fna	GCA_011947285.1	0.20	0.20	far	present	0.088523	GCA_004792515.1	False	0.207242	GCA_004792515.1	False
GCA_011947285.1~c0.20~g0.20~far.fna	GCA_011947285.1	0.20	0.20	far	absent	0.256381	GCA_005145005.1	False	0.006322	GCA_005145005.1	False
GCA_011947285.1~c0.20~g0.20~near.fna	GCA_011947285.1	0.20	0.20	near	present	0.114974	GCA_009497155.1	True	0.197851	GCA_009497155.1	True
GCA_011947285.1~c0.10~g0.00~none.fna	GCA_011947285.1	0.10	0.00	none	present	0.339586	GCA_001584145.1	False	0.004951	GCA_001584145.1	False
GCA_011947285.1~c0.10~g0.00~none.fna	GCA_011947285.1	0.10	0.00	none	absent	0.339586	GCA_001584145.1	False	0.004951	GCA_001584145.1	False
GCA_011947285.1~c0.10~g0.10~far.fna	GCA_011947285.1	0.10	0.10	far	present	0.131119	GCA_053758565.1	False	0.147779	GCA_004792515.1	False
GCA_011947285.1~c0.10~g0.10~far.fna	GCA_011947285.1	0.10	0.10	far	absent	0.291447	GCA_005145005.1	False	0.005344	GCA_005145005.1	False
GCA_011947285.1~c0.10~g0.10~near.fna	GCA_011947285.1	0.10	0.10	near	present	0.164662	GCA_009497155.1	True	0.134247	GCA_009497155.1	True
GCA_011947285.1~c0.10~g0.20~far.fna	GCA_011947285.1	0.10	0.20	far	present	0.109417	GCA_004792515.1	False	0.218915	GCA_004792515.1	False
GCA_011947285.1~c0.10~g0.20~far.fna	GCA_011947285.1	0.10	0.20	far	absent	0.224525	GCA_003950315.1	False	0.027834	GCA_000744375.1	False
GCA_011947285.1~c0.10~g0.20~near.fna	GCA_011947285.1	0.10	0.20	near	present	0.144579	GCA_009497155.1	True	0.190034	GCA_009497155.1	True
GCA_014202815.1~c1.00~g0.00~none.fna	GCA_014202815.1	1.00	0.00	none	present	0.245371	GCA_018304965.1	False	0.005673	GCA_018304965.1	False
GCA_014202815.1~c1.00~g0.00~none.fna	GCA_014202815.1	1.00	0.00	none	absent	0.245371	GCA_018304965.1	False	0.005673	GCA_018304965.1	False
GCA_014202815.1~c1.00~g0.10~far.fna	GCA_014202815.1	1.00	0.10	far	present	0.092849	GCA_003852705.1	False	0.104380	GCA_003852705.1	False
GCA_014202815.1~c1.00~g0.10~far.fna	GCA_014202815.1	1.00	0.10	far	absent	0.247037	GCA_018304965.1	False	0.005208	GCA_018304965.1	False
GCA_014202815.1~c1.00~g0.10~near.fna	GCA_014202815.1	1.00	0.10	near	present	0.100428	GCA_009497155.1	True	0.107983	GCA_009497155.1	True
GCA_014202815.1~c1.00~g0.20~far.fna	GCA_014202815.1	1.00	0.20	far	present	0.058633	GCA_003852705.1	False	0.206553	GCA_003852705.1	False
GCA_014202815.1~c1.00~g0.20~far.fna	GCA_014202815.1	1.00	0.20	far	absent	0.252420	GCA_018304965.1	False	0.004412	GCA_018304965.1	False
GCA_014202815.1~c1.00~g0.20~near.fna	GCA_014202815.1	1.00	0.20	near	present	0.067337	GCA_009497155.1	True	0.205859	GCA_009497155.1	True
GCA_014202815.1~c0.90~g0.00~none.fna	GCA_014202815.1	0.90	0.00	none	present	0.250557	GCA_042654985.1	False	0.005454	GCA_018305005.1	False
GCA_014202815.1~c0.90~g0.00~none.fna	GCA_014202815.1	0.90	0.00	none	absent	0.250557	GCA_042654985.1	False	0.005454	GCA_018305005.1	False
GCA_014202815.1~c0.90~g0.10~far.fna	GCA_014202815.1	0.90	0.10	far	present	0.097101	GCA_003852705.1	False	0.098706	GCA_003852705.1	False
GCA_014202815.1~c0.90~g0.10~far.fna	GCA_014202815.1	0.90	0.10	far	absent	0.252420	GCA_042654985.1	False	0.004882	GCA_042654985.1	False
GCA_014202815.1~c0.90~g0.10~near.fna	GCA_014202815.1	0.90	0.10	near	present	0.104267	GCA_009497155.1	True	0.104497	GCA_009497155.1	True
GCA_014202815.1~c0.90~g0.20~far.fna	GCA_014202815.1	0.90	0.20	far	present	0.060140	GCA_003852705.1	False	0.206344	GCA_003852705.1	False
GCA_014202815.1~c0.90~g0.20~far.fna	GCA_014202815.1	0.90	0.20	far	absent	0.258493	GCA_018304965.1	False	0.004231	GCA_018305005.1	False
GCA_014202815.1~c0.90~g0.20~near.fna	GCA_014202815.1	0.90	0.20	near	present	0.067763	GCA_009497155.1	True	0.213176	GCA_009497155.1	True
GCA_014202815.1~c0.70~g0.00~none.fna	GCA_014202815.1	0.70	0.00	none	present	0.245371	GCA_018304965.1	False	0.006851	GCA_018304965.1	False
GCA_014202815.1~c0.70~g0.00~none.fna	GCA_014202815.1	0.70	0.00	none	absent	0.245371	GCA_018304965.1	False	0.006851	GCA_018304965.1	False
GCA_014202815.1~c0.70~g0.10~far.fna	GCA_014202815.1	0.70	0.10	far	present	0.097746	GCA_003852705.1	False	0.106658	GCA_003852705.1	False
GCA_014202815.1~c0.70~g0.10~far.fna	GCA_014202815.1	0.70	0.10	far	absent	0.250557	GCA_018304965.1	False	0.005771	GCA_018304965.1	False
GCA_014202815.1~c0.70~g0.10~near.fna	GCA_014202815.1	0.70	0.10	near	present	0.106206	GCA_009497155.1	True	0.113437	GCA_009497155.1	True
GCA_014202815.1~c0.70~g0.20~far.fna	GCA_014202815.1	0.70	0.20	far	present	0.064432	GCA_003852705.1	False	0.205470	GCA_003852705.1	False
GCA_014202815.1~c0.70~g0.20~far.fna	GCA_014202815.1	0.70	0.20	far	absent	0.252420	GCA_018304965.1	False	0.005220	GCA_018304965.1	False
GCA_014202815.1~c0.70~g0.20~near.fna	GCA_014202815.1	0.70	0.20	near	present	0.076915	GCA_009497155.1	True	0.197451	GCA_009497155.1	True
GCA_014202815.1~c0.50~g0.00~none.fna	GCA_014202815.1	0.50	0.00	none	present	0.245371	GCA_018304965.1	False	0.008411	GCA_018304965.1	False
GCA_014202815.1~c0.50~g0.00~none.fna	GCA_014202815.1	0.50	0.00	none	absent	0.245371	GCA_018304965.1	False	0.008411	GCA_018304965.1	False
GCA_014202815.1~c0.50~g0.10~far.fna	GCA_014202815.1	0.50	0.10	far	present	0.104267	GCA_003852705.1	False	0.107661	GCA_003852705.1	False
GCA_014202815.1~c0.50~g0.10~far.fna	GCA_014202815.1	0.50	0.10	far	absent	0.247037	GCA_018304965.1	False	0.007567	GCA_018304965.1	False
GCA_014202815.1~c0.50~g0.10~near.fna	GCA_014202815.1	0.50	0.10	near	present	0.118097	GCA_009497155.1	True	0.106844	GCA_009497155.1	True
GCA_014202815.1~c0.50~g0.20~far.fna	GCA_014202815.1	0.50	0.20	far	present	0.071118	GCA_003852705.1	False	0.204794	GCA_003852705.1	False
