accession	taxid	organism	species_name	species_taxid	taxcheck	completeness	contamination	level	length	n_contigs	paired_gcf
GCA_042682725.1	2055905	Flagellimonas iocasae	Flagellimonas iocasae	2055905	OK	99.68		Scaffold	4257096	11	GCF_042682725.1
GCA_042684465.1	1834163	Flavihumibacter stibioxidans	Flavihumibacter stibioxidans	1834163	OK	99.2	2.82	Contig	4572498	40	GCF_042684465.1
GCA_042684785.1	1761453	Euzebyella marina	Euzebyella marina	1761453	OK	100	0.32	Scaffold	4677533	21	GCF_042684785.1
GCA_042686085.1	2038737	Flavobacterium ardleyense	Flavobacterium ardleyense	2038737	OK	99.53	0.02	Scaffold	3435411	31	GCF_042686085.1
GCA_042686385.1	742169	Fictibacillus nanhaiensis	Fictibacillus nanhaiensis	742169	OK	97.39	0.12	Contig	3912427	16	GCF_042686385.1
GCA_044430645.1	3092550	Ewingella allii	Ewingella allii	3092550	OK	100	0.83	Contig	4604243	25	GCF_044430645.1
GCA_045446075.1	3377112	Flavisericum labens	Flavisericum labens	3377112	OK	99.68	0.32	Scaffold	3807289	41	GCF_045446075.1
GCA_046255015.1	3145239	Finegoldia dalianensis	Finegoldia dalianensis	3145239	OK	97.25	1.99	Scaffold	2024017	18	GCF_046255015.1
GCA_046523945.1	1309795	Faucicola mancuniensis	Faucicola mancuniensis	1309795	OK	96.42	1.55	Complete Genome	2740046	2	GCF_046523945.1
GCA_046558455.1	3417568	Eudoraea algarum	Eudoraea algarum	3417568	OK	99.68	0.81	Scaffold	4550567	86	GCF_046558455.1
GCA_048083785.1	3399565	Fictibacillus tiangongensis	Fictibacillus tiangongensis	3399565	OK	97.39	0.87	Complete Genome	4202483	1	GCF_048083785.1
GCA_048158525.1	3398733	Flavobacterium algoris	Flavobacterium algoris	3398733	OK	99.22	0.57	Contig	3743884	66	GCF_048158525.1
GCA_048158655.1	3398738	Flavobacterium algoriphilum	Flavobacterium algoriphilum	3398738	OK	99.22	0.16	Contig	3443259	18	GCF_048158655.1
GCA_048158725.1	3398737	Flavobacterium arabinosi	Flavobacterium arabinosi	3398737	OK	99.22	1.16	Contig	4095926	28	GCF_048158725.1
GCA_048282555.1	3400345	Flavobacterium adiutor	Flavobacterium adiutor	3400345	OK	99.32	1.04	Complete Genome	5134277	1	GCF_048282555.1
GCA_048284335.1	3401713	Flavobacterium amylolyticum	Flavobacterium amylolyticum	3401713	OK	99.22	0.16	Contig	3275690	7	GCF_048284335.1
GCA_049332665.1	3410791	Flagellimonas rhodophyticola	Flagellimonas rhodophyticola	3410791	OK	99.68		Complete Genome	3679056	1	GCF_049332665.1
GCA_049333175.1	3410790	Flagellimonas ulvae	Flagellimonas ulvae	3410790	OK	99.34	0.32	Complete Genome	4126558	1	GCF_049333175.1
GCA_049629585.1	3415142	Flagellimonas algicida	Flagellimonas algicida	3415142	OK	99.68	0.65	Contig	3773128	9	GCF_049629585.1
GCA_050009955.1	2423	Fervidobacterium islandicum	Fervidobacterium islandicum	2423	OK	98.83	0.72	Scaffold	2138953	58	GCF_050009955.1
GCA_050589645.1	3417568	Eudoraea algarum	Eudoraea algarum	3417568	OK	100	0.65	Scaffold	4537004	22	GCF_050589645.1
GCA_051257895.1	2919506	Ferrigenium straubiae	Ferrigenium straubiae	2919506	OK	89.12	6.17	Complete Genome	2666173	1	GCF_051257895.1
GCA_053758485.1	120956	Facklamia miroungae	Facklamia miroungae	120956	OK	95.34	7.45	Contig	2033110	18	GCF_053758485.1
GCA_053759685.1	82347	Facklamia languida	Facklamia languida	82347	OK	99.25	0.18	Contig	1701457	11	GCF_053759685.1
GCA_053759865.1	178214	Facklamia hominis	Facklamia hominis	178214	OK	97.46	0.17	Contig	1864286	28	GCF_053759865.1
GCA_053759965.1	82347	Facklamia languida	Facklamia languida	82347	OK	99.25	0.18	Contig	1703646	11	GCF_053759965.1
GCA_054461535.1	1841482	Flavitalea antarctica	Flavitalea antarctica	1841482	OK	98.99	1.58	Contig	6692533	98	GCF_054461535.1
GCA_054461575.1	1892851	Flavitalea flava	Flavitalea flava	1892851	OK	98.08	4.23	Contig	7973097	150	GCF_054461575.1
GCA_054601575.1	1912090	Faecalimonas canis	Faecalimonas canis	1912090	OK	98.75	0.09	Scaffold	2235916	56	GCF_054601575.1
GCA_054660755.1	3380807	Faecalimonas hominis	Faecalimonas hominis	3380807	OK	97.81	0.61	Contig	2363968	99	GCF_054660755.1
GCA_054777635.1	1892555	Flaviaesturariibacter terrae	Flaviaesturariibacter terrae	1892555	OK	96.32	0.88	Scaffold	4059762	24	GCF_054777635.1
GCA_054783275.1	1380048	Ferruginibacter profundus	Ferruginibacter profundus	1380048	OK	98.84	3.14	Scaffold	6315180	36	GCF_054783275.1
GCA_054783375.1	1442385	Flavihumibacter cheonanensis	Flavihumibacter cheonanensis	1442385	OK	99.28	1.76	Contig	4783182	22	GCF_054783375.1
GCA_055389015.1	478105	Exilispira thermophila	Exilispira thermophila	478105	OK	95.28	0.39	Complete Genome	3076775	1	GCF_055389015.1
GCA_056172635.1	3389975	Fervidobacterium pennivorans subsp. shakshaketiis	Fervidobacterium pennivorans	93466	OK	98.27	0.37	Scaffold	1998327	40	GCF_056172635.1
GCA_057473275.1	3410791	Flagellimonas rhodophyticola	Flagellimonas rhodophyticola	3410791	OK	99.68		Complete Genome	3679056	1	GCF_057473275.1
GCA_058248305.1	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	853	OK	95.78	3.84	Complete Genome	3070145	1	GCF_058248305.1
GCA_900000175.1	483423	Estrella lausannensis	Estrella lausannensis	483423	OK	95.76	2.94	Scaffold	2829331	34	GCF_900000175.1
GCA_900094955.1	1017270	Fictibacillus enclensis	Fictibacillus enclensis	1017270	OK	98.13	0.81	Scaffold	4500901	12	GCF_900094955.1
GCA_900096925.1	296995	Exiguobacterium indicum	Exiguobacterium indicum	296995	OK	98.97	0.39	Contig	3252807	11	GCF_900096925.1
GCA_900100175.1	718193	Ferrimonas sediminum	Ferrimonas sediminum	718193	OK	97.79	1.14	Scaffold	4375383	54	GCF_900100175.1
GCA_900100515.1	310769	Fervidobacterium changbaicum	Fervidobacterium changbaicum	310769	OK	98.83	0.47	Scaffold	2184031	54	GCF_900100515.1
GCA_900100775.1	120956	Facklamia miroungae	Facklamia miroungae	120956	OK	95.34	7.45	Contig	2028290	22	GCF_900100775.1
GCA_900101855.1	459526	Flavobacterium anhuiense	Flavobacterium anhuiense	459526	OK	99.53	0.47	Scaffold	5340093	30	GCF_900101855.1
GCA_900102225.1	155865	Eubacterium pyruvativorans	Eubacterium pyruvativorans	155865	OK	98.73	2.55	Contig	2158512	58	GCF_900102225.1
GCA_900102925.1	1073328	Flagellimonas zhangzhouensis	Flagellimonas zhangzhouensis	1073328	OK	99.68	0.32	Contig	3742882	9	GCF_900102925.1
GCA_900103485.1	459525	Fictibacillus solisalsi	Fictibacillus solisalsi	459525	OK	98.13	2.24	Scaffold	4797611	17	GCF_900103485.1
GCA_900104305.1	418854	Filomicrobium insigne	Filomicrobium insigne	418854	OK	99.73	2.34	Scaffold	3847194	11	GCF_900104305.1
GCA_900104415.1	1732	Eubacterium oxidoreducens	Eubacterium oxidoreducens	1732	OK	99.36	2.55	Scaffold	2912287	37	GCF_900104415.1
GCA_900106825.1	1073328	Flagellimonas zhangzhouensis	Flagellimonas zhangzhouensis	1073328	OK	99.68	0.32	Contig	3744005	10	GCF_900106825.1
GCA_900107125.1	1528	Eubacterium barkeri	Eubacterium barkeri	1528	OK	98.73		Scaffold	2954329	46	GCF_900107125.1
GCA_900107275.1	1503961	Evansella caseinilytica	Evansella caseinilytica	1503961	OK	99.14	3.64	Contig	5872627	61	GCF_900107275.1
GCA_900107815.1	81409	Eubacterium aggregans	Eubacterium aggregans	81409	OK	98.73		Contig	2833471	66	GCF_900107815.1
GCA_900110915.1	1855383	Faunimonas pinastri	Faunimonas pinastri	1855383	OK	97.54	2.05	Contig	4196045	43	GCF_900110915.1
GCA_900112295.1	1005926	Flagellimonas taeanensis	Flagellimonas taeanensis	1005926	OK	99.68	0.97	Scaffold	4482831	24	GCF_900112295.1
GCA_900113055.1	285351	Flavimobilis marinus	Flavimobilis marinus	285351	OK	79.36	9.72	Scaffold	2899750	12	GCF_900113055.1
GCA_900114265.1	369401	Flaviramulus basaltis	Flaviramulus basaltis	369401	OK	100	0.43	Contig	4188560	32	GCF_900114265.1
GCA_900114315.1	1123062	Falsiroseomonas stagni DSM 19981	Falsiroseomonas stagni	484882	OK	100	1.01	Scaffold	6384459	54	GCF_900114315.1
GCA_900115875.1	1202724	Flavobacterium akiainvivens	Flavobacterium akiainvivens	1202724	OK	98.59	0.16	Contig	4495023	44	GCF_900115875.1
GCA_900120165.1	1852374	Ezakiella massiliensis	Ezakiella massiliensis	1852374	OK	98.28		Complete Genome	1741785	1	GCF_900120165.1
GCA_900128965.1	1121881	Ferrithrix thermotolerans DSM 19514	Ferrithrix thermotolerans	209649	OK	98.29	1.26	Scaffold	2489535	101	GCF_900128965.1
GCA_900129295.1	1121884	Flavisolibacter ginsengisoli DSM 18119	Flavisolibacter ginsengisoli	462367	OK	98.32	1.46	Scaffold	4677460	56	GCF_900129295.1
GCA_900129665.1	570519	Flagellimonas flava	Flagellimonas flava	570519	OK	99.68	0.65	Contig	3836163	14	GCF_900129665.1
GCA_900129905.1	299255	Ferrimonas marina	Ferrimonas marina	299255	OK	95.59	8.65	Scaffold	4983771	27	GCF_900129905.1
GCA_900142405.1	1005926	Flagellimonas taeanensis	Flagellimonas taeanensis	1005926	OK	99.68	0.97	Scaffold	4484398	24	GCF_900142405.1
GCA_900142645.1	53442	Eubacterium callanderi	Eubacterium callanderi	53442	OK	99.36	0.64	Scaffold	4448893	34	GCF_900142645.1
GCA_900143265.1	1121883	Fervidobacterium gondwanense DSM 13020	Fervidobacterium gondwanense	44754	OK	99.2	0.47	Scaffold	2146020	27	GCF_900143265.1
GCA_900156765.1	477680	Filimonas lacunae	Filimonas lacunae	477680	OK	98.02	2.98	Scaffold	7763674	43	GCF_900156765.1
GCA_900167085.1	42322	Eubacterium ruminantium	Eubacterium ruminantium	42322	OK	98.41	1.27	Scaffold	2841101	37	GCF_900167085.1
GCA_900167115.1	39495	Eubacterium uniforme	Eubacterium uniforme	39495	OK	99.36	1.27	Scaffold	2872342	47	GCF_900167115.1
GCA_900167205.1	290054	Eubacterium coprostanoligenes	Eubacterium coprostanoligenes	290054	OK	97.45		Contig	1823434	36	GCF_900167205.1
GCA_900167415.1	28122	Fibrobacter intestinalis	Fibrobacter intestinalis	28122	OK	100		Scaffold	3292368	124	GCF_900167415.1
GCA_900172225.1	1200284	Falsiruegeria litorea R37	Falsiruegeria litorea	1280831	OK	99.39	0.31	Contig	4691634	18	GCF_900172225.1
GCA_900184895.1	1819565	Flavimaricola marinus	Flavimaricola marinus	1819565	OK	99.56	1.91	Contig	4792571	56	GCF_900184895.1
GCA_900215465.1	1247520	Flagellimonas pacifica	Flagellimonas pacifica	1247520	OK	99.68	0.97	Scaffold	4444453	22	GCF_900215465.1
GCA_900215725.1	1464038	Ezakiella peruensis	Ezakiella peruensis	1464038	OK	98.28		Scaffold	1673080	7	GCF_900215725.1
GCA_900302455.1	1200281	Falsiruegeria mediterranea M17	Falsiruegeria mediterranea	1280832	OK	99.39		Contig	5278962	49	GCF_900302455.1
GCA_900445305.1	82135	Fannyhessea vaginae	Fannyhessea vaginae	82135	OK	99.02	0.12	Contig	1451822	2	GCF_900445305.1
GCA_900450545.1	33987	Exiguobacterium aurantiacum	Exiguobacterium aurantiacum	33987	OK	99.17		Contig	3125661	4	GCF_900450545.1
GCA_900450565.1	564	Escherichia fergusonii	Escherichia fergusonii	564	OK	90.64	1.21	Contig	4644359	2	GCF_900450565.1
GCA_900451015.1	41202	Ewingella americana	Ewingella americana	41202	OK	77.3		Contig	4941775	2	GCF_900451015.1
GCA_900453115.1	34062	Faucicola osloensis	Faucicola osloensis	34062	OK	99.5	0.32	Contig	2691416	6	GCF_900453115.1
GCA_900453305.1	34059	Faucicola atlantae	Faucicola atlantae	34059	OK	97.79	0.55	Contig	2501639	8	GCF_900453305.1
GCA_900459315.1	1323	Faecalicoccus pleomorphus	Faecalicoccus pleomorphus	1323	OK	96.57	2.21	Contig	2055154	4	GCF_900459315.1
GCA_900609045.1	2483811	Filibacter tadaridae	Filibacter tadaridae	2483811	OK	93.03	1.21	Scaffold	3123030	89	GCF_900609045.1
GCA_900706755.1	562	Escherichia coli	Escherichia coli	562	OK	60.01	0.43	Contig	5040580	5	GCF_900706755.1
GCA_902498915.1	2608867	Escherichia ruysiae	Escherichia ruysiae	2608867	OK	99.66	0.4	Contig	4767674	2	GCF_902498915.1
GCA_905332505.2	2811778	Fenollaria sporofastidiosus	Fenollaria sporofastidiosus	2811778	OK	91.2		Contig	1630063	1	GCF_905332505.2
GCA_943169635.2	2811778	Fenollaria sporofastidiosus	Fenollaria sporofastidiosus	2811778	OK	90.47		Complete Genome	1630063	1	GCF_943169635.2
GCA_947568225.1	2991836	Faecalispora anaeroviscerum	Faecalispora anaeroviscerum	2991836	OK	98.64	1.39	Contig	2921941	2	GCF_947568225.1
GCA_963930865.1	3109584	Eupransor demetentiae	Eupransor demetentiae	3109584	OK	92.02	0.08	Contig	1442903	8	GCF_963930865.1
GCA_965137035.1	2483811	Filibacter tadaridae	Filibacter tadaridae	2483811	OK	93.03	1.21	Scaffold	3115886	69	GCF_965137035.1
GCA_965137265.1	562	Escherichia coli	Escherichia coli	562	OK	99.07	0.45	Scaffold	4978172	83	GCF_965137265.1
GCA_965137765.1	34062	Faucicola osloensis	Faucicola osloensis	34062	OK	99.5	0.32	Scaffold	2434035	74	GCF_965137765.1
GCA_000013345.1	106370	Frankia casuarinae	Frankia casuarinae	106370	OK	97.67		Complete Genome	5433628	1	GCF_000013345.1
GCA_000014645.1	401614	Francisella tularensis subsp. novicida U112	Francisella tularensis	263	OK	99.19	0.08	Complete Genome	1910031	1	GCF_000014645.1
GCA_000016645.1	376686	Flavobacterium johnsoniae UW101	Flavobacterium johnsoniae	986	OK	99.38	0.16	Complete Genome	6096872	1	GCF_000016645.1
GCA_000018925.1	441952	Francisella tularensis subsp. mediasiatica FSC147	Francisella tularensis	263	OK	99.29	0.08	Complete Genome	1893886	1	GCF_000018925.1
GCA_000058485.1	326424	Frankia alni ACN14a	Frankia alni	1859	OK	98.37		Complete Genome	7497934	1	GCF_000058485.1
GCA_000153845.1	412422	Francisella tularensis subsp. holarctica 257	Francisella tularensis	263	OK	88.65	0.98	Scaffold	1887952	31	GCF_000153845.1
GCA_000156715.1	539329	Francisella philomiragia subsp. philomiragia ATCC 25015	Francisella philomiragia	28110	OK	99.06	0.2	Scaffold	1999684	30	GCF_000156715.1
GCA_000194605.1	755732	Fluviicola taffensis DSM 16823	Fluviicola taffensis	191579	OK	100		Complete Genome	4633577	1	GCF_000194605.1
GCA_000218625.1	717231	Flexistipes sinusarabici DSM 4947	Flexistipes sinusarabici	2352	OK	99.26	0.44	Complete Genome	2526590	1	GCF_000218625.1
GCA_000219045.1	573569	Francisella salina	Francisella salina	573569	OK	99.33	0.1	Complete Genome	2035931	1	GCF_000219045.1
GCA_000236165.1	1094715	Fluoribacter dumoffii NY 23	Fluoribacter dumoffii	463	OK	99.93	1.67	Chromosome	3909670	32	GCF_000236165.1
GCA_000239295.1	411475	Flavonifractor plautii ATCC 29863	Flavonifractor plautii	292800	OK	97.52	2.55	Scaffold	3820124	344	GCF_000239295.1
GCA_000242255.3	767434	Frateuria aurantia DSM 6220	Frateuria aurantia	81475	OK	99.09	0.76	Complete Genome	3603458	1	GCF_000242255.2
GCA_000332295.1	643473	Fortiea contorta PCC 7126	Fortiea contorta	1892405	OK	99.41	0.31	Scaffold	5742264	5	GCF_000332295.1
GCA_000378485.1	1121895	Flavobacterium rivuli WB 3.3-2 = DSM 21788	Flavobacterium rivuli	498301	OK	99.32	0.16	Scaffold	4489248	26	GCF_000378485.1
GCA_000379765.1	1121904	Flexithrix dorotheae DSM 6795	Flexithrix dorotheae	70993	OK	99.43	0.23	Scaffold	9536821	105	GCF_000379765.1
GCA_000420625.1	570952	Fodinicurvata sediminis DSM 21159	Fodinicurvata sediminis	1121832	OK	99.56		Contig	3690548	20	GCF_000420625.1
GCA_000422685.1	1121891	Flavobacterium gelidilacus DSM 15343	Flavobacterium gelidilacus	206041	OK	99.53	0.16	Scaffold	3441043	51	GCF_000422685.1
GCA_000422705.1	1121897	Flavobacterium soli DSM 19725	Flavobacterium soli	344881	OK	99.22	0.16	Scaffold	4002854	24	GCF_000422705.1
GCA_000422725.1	1121898	Flavobacterium subsaxonicum WB 4.1-42 = DSM 21790	Flavobacterium subsaxonicum	426226	OK	99.43	0.16	Scaffold	4638566	31	GCF_000422725.1
GCA_000425425.1	1121887	Flavobacterium daejeonense DSM 17708	Flavobacterium daejeonense	350893	OK	99.53	0.16	Scaffold	4244138	52	GCF_000425425.1
GCA_000425445.1	1121888	Flavobacterium denitrificans DSM 15936	Flavobacterium denitrificans	281361	OK	99.53	0.31	Scaffold	4823485	31	GCF_000425445.1
GCA_000425465.1	1121889	Flavobacterium filum DSM 17961	Flavobacterium filum	370974	OK	99.53		Scaffold	3192093	53	GCF_000425465.1
GCA_000425485.1	1121901	Flavobacterium tegetincola DSM 22377	Flavobacterium tegetincola	150172	OK	99.53	0.16	Scaffold	3774544	54	GCF_000425485.1
GCA_000425505.1	1121890	Flavobacterium frigidarium DSM 17623	Flavobacterium frigidarium	99286	OK	99.22	0.16	Scaffold	3631041	39	GCF_000425505.1
GCA_000427405.1	929703	Flectobacillus major DSM 103	Flectobacillus major	103	OK	100	0.3	Scaffold	6221030	13	GCF_000427405.1
GCA_000430025.1	1121899	Flavobacterium suncheonense GH29-5 = DSM 17707	Flavobacterium suncheonense	350894	OK	99.53	0.16	Scaffold	2880663	58	GCF_000430025.1
GCA_000455605.1	1094466	Flavobacterium indicum GPTSA100-9 = DSM 17447	Flavobacterium indicum	312277	OK	98.59	0.08	Complete Genome	2993089	1	GCF_000455605.1
GCA_000463115.2	1387568	Franconibacter helveticus LMG 23732	Franconibacter helveticus	357240	OK	100		Scaffold	4521165	77	GCF_000463115.2
GCA_000485945.1	1405120	Franconibacter helveticus 513	Franconibacter helveticus	357240	OK	99.72	1.1	Contig	4841867	377	GCF_000485945.1
GCA_000498475.1	1341154	Flavobacterium cauense R2A-7	Flavobacterium cauense	510946	OK	99.53	0.16	Contig	3113956	39	GCF_000498475.1
GCA_000498495.1	1107311	Flavobacterium enshiense DK69	Flavobacterium enshiense	1341165	OK	99.53	0.78	Contig	3387090	48	GCF_000498495.1
GCA_000498515.1	1341155	Flavobacterium saliperosum S13	Flavobacterium saliperosum	329186	OK	99.53	0.83	Contig	2894932	76	GCF_000498515.1
GCA_000498535.1	1341181	Flavobacterium limnosediminis JC2902	Flavobacterium limnosediminis	1401027	OK	99.53	1.09	Contig	3466544	56	GCF_000498535.1
GCA_000611675.1	1450525	Flavobacterium succinicans LMG 10402	Flavobacterium succinicans	29536	OK	99.53	1.38	Contig	3652806	48	GCF_000611675.1
GCA_000686045.1	570967	Fodinicurvata fenggangensis DSM 21160	Fodinicurvata fenggangensis	1121830	OK	100		Contig	3769755	37	GCF_000686045.1
GCA_000686885.1	1121896	Flavobacterium sasangense DSM 21067	Flavobacterium sasangense	503361	OK	99.14		Scaffold	3158735	73	GCF_000686885.1
GCA_000695795.1	1492738	Flavobacterium seoulense	Flavobacterium seoulense	1492738	OK	99.38	0.79	Contig	3792640	56	GCF_000695795.1
GCA_000723205.1	1347342	Formosa agariphila KMM 3901	Formosa agariphila	320324	OK	99.35		Chromosome	4228350	9	GCF_000723205.1
GCA_000735535.1	1492737	Flavobacterium gilvum	Flavobacterium gilvum	1492737	OK	97.97	1.79	Contig	4321991	215	GCF_000735535.1
GCA_000735715.2	1453505	Flavobacterium chungangense LMG 26729	Flavobacterium chungangense	554283	OK	99.53	1.66	Contig	5591549	45	GCF_000735715.2
GCA_000737695.1	991	Flavobacterium hydatis	Flavobacterium hydatis	991	OK	99.69	2.04	Contig	5877671	99	GCF_000737695.1
GCA_000754405.1	1452724	Flavobacterium psychrophilum FPG3	Flavobacterium psychrophilum	96345	OK	99.43	0.47	Complete Genome	2715909	1	GCF_000754405.1
GCA_000769815.1	1341154	Flavobacterium cauense R2A-7	Flavobacterium cauense	510946	OK	99.47	0.16	Contig	3110902	61	GCF_000769815.1
GCA_000769825.1	1121895	Flavobacterium rivuli WB 3.3-2 = DSM 21788	Flavobacterium rivuli	498301	OK	99.43	0.16	Contig	4479972	63	GCF_000769825.1
GCA_000769835.1	1121899	Flavobacterium suncheonense GH29-5 = DSM 17707	Flavobacterium suncheonense	350894	OK	99.53	0.16	Contig	2883777	105	GCF_000769835.1
GCA_000769895.1	1107311	Flavobacterium enshiense DK69	Flavobacterium enshiense	1341165	OK	99.53	0.78	Contig	3375260	74	GCF_000769895.1
GCA_000769915.1	1406840	Flavobacterium beibuense F44-8	Flavobacterium beibuense	657326	OK	99.22	0.89	Contig	3800758	61	GCF_000769915.1
GCA_000769935.1	1121898	Flavobacterium subsaxonicum WB 4.1-42 = DSM 21790	Flavobacterium subsaxonicum	426226	OK	99.43	0.16	Contig	4637174	80	GCF_000769935.1
GCA_000832125.1	37752	Flavobacterium hibernum	Flavobacterium hibernum	37752	OK	99.22	1.09	Contig	5283672	30	GCF_000832125.1
GCA_000833375.1	401614	Francisella tularensis subsp. novicida U112	Francisella tularensis	263	OK	99.15	0.08	Complete Genome	1910592	1	GCF_000833375.1
GCA_000833455.1	539329	Francisella philomiragia subsp. philomiragia ATCC 25015	Francisella philomiragia	28110	OK	97.62	0.2	Complete Genome	2017400	1	GCF_000833455.1
GCA_000833475.1	119856	Francisella tularensis subsp. tularensis	Francisella tularensis	263	OK	98.23	2.35	Complete Genome	1862444	1	GCF_000833475.1
GCA_000948395.1	1856	Frankia torreyi	Frankia torreyi	1856	OK	94.32	0.47	Scaffold	7624758	164	GCF_000948395.1
GCA_001182895.1	2219559	Frateuria defendens	Frateuria defendens	2219559	OK	99.49	0.9	Contig	4191200	333	GCF_001182895.1
GCA_001192795.1	1678840	Flexilinea flocculi	Flexilinea flocculi	1678840	OK	94.83	1.72	Scaffold	3510630	16	GCF_001192795.1
GCA_001275365.1	1086726	Francisella persica ATCC VR-331	Francisella persica	954	OK	86.46		Complete Genome	1516676	1	GCF_001275365.1
GCA_001439665.1	225843	Formosa algae	Formosa algae	225843	OK	99.68	1.08	Contig	4292461	82	GCF_001439665.1
GCA_001467605.1	1094715	Fluoribacter dumoffii NY 23	Fluoribacter dumoffii	463	OK	99.59	1.67	Scaffold	3818004	26	GCF_001467605.1
GCA_001467685.1	464	Fluoribacter gormanii	Fluoribacter gormanii	464	OK	99.84	0.45	Scaffold	3820062	99	GCF_001467685.1
GCA_001602525.1	946677	Flavobacterium chilense	Flavobacterium chilense	946677	OK	99.53	0.56	Contig	5924510	21	GCF_001602525.1
GCA_001608445.1	1088883	Francisella hispaniensis FSC454	Francisella hispaniensis	622488	OK	99.15		Contig	1895135	95	GCF_001608445.1
GCA_001637185.1	249352	Flavobacterium fryxellicola	Flavobacterium fryxellicola	249352	OK	99.22	0.8	Contig	3721009	49	GCF_001637185.1
GCA_001648685.1	464	Fluoribacter gormanii	Fluoribacter gormanii	464	OK	99.84	0.45	Scaffold	3816964	68	GCF_001648685.1
GCA_001653955.1	1086726	Francisella persica ATCC VR-331	Francisella persica	954	OK	87.07	1.09	Complete Genome	1540768	1	GCF_001653955.1
GCA_001685485.1	1555194	Formosa haliotis	Formosa haliotis	1555194	OK	95.07	0.49	Contig	4305801	1	GCF_001685485.1
GCA_001686925.1	1114874	Flavobacterium piscis	Flavobacterium piscis	1114874	OK	99.69	1.07	Contig	5904555	51	GCF_001686925.1
GCA_001686935.1	551990	Flavobacterium glycines	Flavobacterium glycines	551990	OK	99.53	0.89	Contig	3958831	32	GCF_001686935.1
GCA_001686945.1	1763534	Flavobacterium crassostreae	Flavobacterium crassostreae	1763534	OK	93.53	1.79	Contig	2762845	77	GCF_001686945.1
GCA_001761465.1	1492737	Flavobacterium gilvum	Flavobacterium gilvum	1492737	OK	98.12	0.8	Complete Genome	4402594	1	GCF_001761465.1
GCA_001831475.1	1763534	Flavobacterium crassostreae	Flavobacterium crassostreae	1763534	OK	98.53	1.47	Complete Genome	3027315	1	GCF_001831475.1
GCA_001832885.1	1859475	Floricoccus penangensis	Floricoccus penangensis	1859475	OK	98.02	1.45	Contig	2049722	31	GCF_001832885.1
GCA_001832905.1	1859473	Floricoccus tropicus	Floricoccus tropicus	1859473	OK	98.13	2.28	Contig	2157756	26	GCF_001832905.1
GCA_001857965.1	1306519	Flavobacterium commune	Flavobacterium commune	1306519	OK	99.53	0.32	Complete Genome	3851214	1	GCF_001857965.1
GCA_001880225.1	1542390	Francisella frigiditurris	Francisella frigiditurris	1542390	OK	93.68	2.03	Complete Genome	1861609	2	GCF_001880225.1
GCA_001885235.1	1088883	Francisella hispaniensis FSC454	Francisella hispaniensis	622488	OK	96.39		Complete Genome	1938636	2	GCF_001885235.1
GCA_001895265.1	573570	Francisella uliginis	Francisella uliginis	573570	OK	99.54	1.62	Complete Genome	2237379	1	GCF_001895265.1
GCA_002211785.1	549298	Francisella halioticida	Francisella halioticida	549298	OK	96.42	3.75	Complete Genome	2197430	1	GCF_002211785.1
GCA_002217205.1	1218110	Flavobacterium branchiophilum NBRC 15030 = ATCC 35035	Flavobacterium branchiophilum	55197	OK	98.12	1.25	Scaffold	3580395	298	GCF_002217205.1
GCA_002217275.1	262320	Flavobacterium frigidimaris	Flavobacterium frigidimaris	262320	OK	99.53	1	Scaffold	5422185	76	GCF_002217275.1
GCA_002217285.1	387094	Flavobacterium hercynium	Flavobacterium hercynium	387094	OK	99.53	2.08	Scaffold	5260169	107	GCF_002217285.1
GCA_002217315.1	37752	Flavobacterium hibernum	Flavobacterium hibernum	37752	OK	99.22	1.09	Scaffold	5305016	82	GCF_002217315.1
GCA_002217335.1	991	Flavobacterium hydatis	Flavobacterium hydatis	991	OK	99.69	1.98	Scaffold	5902573	79	GCF_002217335.1
GCA_002217355.1	728056	Flavobacterium oncorhynchi	Flavobacterium oncorhynchi	728056	OK	99.22	0.86	Scaffold	4730796	58	GCF_002217355.1
GCA_002217365.1	29533	Flavobacterium pectinovorum	Flavobacterium pectinovorum	29533	OK	99.53	2.03	Scaffold	5607986	57	GCF_002217365.1
GCA_002217395.1	1114867	Flavobacterium plurextorum	Flavobacterium plurextorum	1114867	OK	99.53	0.94	Scaffold	5062246	92	GCF_002217395.1
GCA_002217405.1	1121894	Flavobacterium psychrophilum DSM 3660 = ATCC 49418	Flavobacterium psychrophilum	96345	OK	99.53	0.47	Scaffold	2638051	109	GCF_002217405.1
GCA_002217435.1	362418	Flavobacterium reichenbachii	Flavobacterium reichenbachii	362418	OK	99.53	0.8	Scaffold	5577968	53	GCF_002217435.1
GCA_002217445.1	1114873	Flavobacterium tructae	Flavobacterium tructae	1114873	OK	99.53	1.51	Scaffold	5354799	67	GCF_002217445.1
GCA_002217475.1	1114873	Flavobacterium tructae	Flavobacterium tructae	1114873	OK	99.53	1.51	Scaffold	4951782	130	GCF_002217475.1
GCA_002221975.1	376686	Flavobacterium johnsoniae UW101	Flavobacterium johnsoniae	986	OK	99.53	0.16	Scaffold	6041815	69	GCF_002221975.1
GCA_002222045.1	1114874	Flavobacterium piscis	Flavobacterium piscis	1114874	OK	99.27	0.96	Scaffold	5880206	147	GCF_002222045.1
GCA_002251775.1	2023067	Flavobacterium aurantiibacter	Flavobacterium aurantiibacter	2023067	OK	97.77	1.59	Scaffold	3247176	229	GCF_002251775.1
