scenario	accession	genus	domain	neighbour	ani	af_min	class	same_genus
no_self_strain	GCA_014645595.1	Deinococcus	Bacteria	GCA_000348665.1	99.99	97.95	same_species	1
novel_species	GCA_014645595.1	Deinococcus	Bacteria	GCA_020546705.1	86.59	27.67	congeneric	1
as_reported	GCA_014646895.1	Deinococcus_C	Bacteria	GCA_042656985.1	82.78	12.19	congeneric	1
no_self_strain	GCA_014646895.1	Deinococcus_C	Bacteria	GCA_042656985.1	82.78	12.19	congeneric	1
novel_species	GCA_014646895.1	Deinococcus_C	Bacteria	GCA_042656985.1	82.78	12.19	congeneric	1
as_reported	GCA_014647055.1	Deinococcus	Bacteria	GCA_000800395.1	87.20	35.43	congeneric	1
no_self_strain	GCA_014647055.1	Deinococcus	Bacteria	GCA_000800395.1	87.20	35.43	congeneric	1
novel_species	GCA_014647055.1	Deinococcus	Bacteria	GCA_000800395.1	87.20	35.43	congeneric	1
as_reported	GCA_014647075.1	Deinococcus	Bacteria	GCA_014647055.1	83.01	11.51	congeneric	1
no_self_strain	GCA_014647075.1	Deinococcus	Bacteria	GCA_014647055.1	83.01	11.51	congeneric	1
novel_species	GCA_014647075.1	Deinococcus	Bacteria	GCA_014647055.1	83.01	11.51	congeneric	1
as_reported	GCA_014647175.1	Deinococcus	Bacteria	GCA_001485435.1	95.56	74.98	same_species	1
no_self_strain	GCA_014647175.1	Deinococcus	Bacteria	GCA_001485435.1	95.56	74.98	same_species	1
novel_species	GCA_014647175.1	Deinococcus	Bacteria	GCA_001007995.1	94.11	62.33	congeneric	1
as_reported	GCA_014647435.1	Deinococcus	Bacteria	GCA_001507665.1	90.97	45.26	congeneric	1
no_self_strain	GCA_014647435.1	Deinococcus	Bacteria	GCA_001507665.1	90.97	45.26	congeneric	1
novel_species	GCA_014647435.1	Deinococcus	Bacteria	GCA_001507665.1	90.97	45.26	congeneric	1
as_reported	GCA_014647515.1	Dactylosporangium	Bacteria	GCA_042430585.1	99.99	99.38	same_species	1
no_self_strain	GCA_014647515.1	Dactylosporangium	Bacteria	GCA_042430585.1	99.99	99.38	same_species	1
novel_species	GCA_014647515.1	Dactylosporangium	Bacteria	GCA_025137375.1	85.11	17.26	congeneric	1
as_reported	GCA_014647655.1	Deinococcus	Bacteria	GCA_042681105.1	99.89	89.49	same_species	1
no_self_strain	GCA_014647655.1	Deinococcus	Bacteria	GCA_042681105.1	99.89	89.49	same_species	1
novel_species	GCA_014647655.1	Deinococcus	Bacteria	GCA_000020685.1	84.66	26.15	congeneric	1
as_reported	GCA_014647995.1	Deinococcus	Bacteria	GCA_009687825.1	98.20	82.42	same_species	1
no_self_strain	GCA_014647995.1	Deinococcus	Bacteria	GCA_009687825.1	98.20	82.42	same_species	1
novel_species	GCA_014647995.1	Deinococcus	Bacteria	GCA_001007995.1	91.97	51.91	congeneric	1
as_reported	GCA_014648115.1	Deinococcus	Bacteria	GCA_014648155.1	97.75	82.04	same_species	1
no_self_strain	GCA_014648115.1	Deinococcus	Bacteria	GCA_014648155.1	97.75	82.04	same_species	1
novel_species	GCA_014648115.1	Deinococcus	Bacteria	GCA_039544915.1	93.01	58.14	congeneric	1
as_reported	GCA_014648135.1	Deinococcus	Bacteria	GCA_009834985.1	92.13	53.42	congeneric	1
no_self_strain	GCA_014648135.1	Deinococcus	Bacteria	GCA_009834985.1	92.13	53.42	congeneric	1
novel_species	GCA_014648135.1	Deinococcus	Bacteria	GCA_009834985.1	92.13	53.42	congeneric	1
as_reported	GCA_014648155.1	Deinococcus	Bacteria	GCA_014648115.1	97.75	82.04	same_species	1
no_self_strain	GCA_014648155.1	Deinococcus	Bacteria	GCA_014648115.1	97.75	82.04	same_species	1
novel_species	GCA_014648155.1	Deinococcus	Bacteria	GCA_039544915.1	92.74	59.41	congeneric	1
as_reported	GCA_014672715.2	Dehalogenimonas	Bacteria	GCA_043506345.1	100.00	99.83	same_species	1
no_self_strain	GCA_014672715.2	Dehalogenimonas	Bacteria	GCA_043506345.1	100.00	99.83	same_species	1
novel_species	GCA_014672715.2	Dehalogenimonas	Bacteria	GCA_001953175.1	81.54	8.15	congeneric	1
as_reported	GCA_014836495.1	Cytobacillus	Bacteria	GCA_042649545.1	92.55	72.57	congeneric	1
no_self_strain	GCA_014836495.1	Cytobacillus	Bacteria	GCA_042649545.1	92.55	72.57	congeneric	1
novel_species	GCA_014836495.1	Cytobacillus	Bacteria	GCA_042649545.1	92.55	72.57	congeneric	1
as_reported	GCA_014873765.1	Desulfomicrobium	Bacteria	GCA_900114595.1	98.49	80.03	same_species	1
no_self_strain	GCA_014873765.1	Desulfomicrobium	Bacteria	GCA_900114595.1	98.49	80.03	same_species	1
novel_species	GCA_014873765.1	Desulfomicrobium	Bacteria	GCA_900114115.1	93.94	68.61	congeneric	1
as_reported	GCA_014875835.1	Deinococcus	Bacteria	GCA_014875845.1	99.99	97.34	same_strain	1
no_self_strain	GCA_014875835.1	Deinococcus	Bacteria	GCA_042427565.1	99.99	89.44	same_species	1
novel_species	GCA_014875835.1	Deinococcus	Bacteria	GCA_001638825.1	87.02	27.92	congeneric	1
as_reported	GCA_014875845.1	Deinococcus	Bacteria	GCA_042427565.1	100.00	91.72	same_species	1
no_self_strain	GCA_014875845.1	Deinococcus	Bacteria	GCA_042427565.1	100.00	91.72	same_species	1
novel_species	GCA_014875845.1	Deinococcus	Bacteria	GCA_047523805.1	86.84	17.29	congeneric	1
as_reported	GCA_016056275.1	Dendronalium	Bacteria	GCA_016056305.1	81.68	6.91	inter_genus	0
no_self_strain	GCA_016056275.1	Dendronalium	Bacteria	GCA_016056305.1	81.68	6.91	inter_genus	0
novel_species	GCA_016056275.1	Dendronalium	Bacteria	GCA_016056305.1	81.68	6.91	inter_genus	0
as_reported	GCA_016127415.1	Comamonas	Bacteria	GCA_001598795.1	100.00	97.67	same_species	1
no_self_strain	GCA_016127415.1	Comamonas	Bacteria	GCA_001598795.1	100.00	97.67	same_species	1
novel_species	GCA_016127415.1	Comamonas	Bacteria	GCA_900107225.1	95.54	74.15	congeneric	1
as_reported	GCA_016766835.1	Dermacoccus	Bacteria	GCA_900447535.1	100.00	98.92	same_species	1
no_self_strain	GCA_016766835.1	Dermacoccus	Bacteria	GCA_900447535.1	100.00	98.92	same_species	1
novel_species	GCA_016766835.1	Dermacoccus	Bacteria	GCA_039529985.1	84.34	14.63	congeneric	1
as_reported	GCA_016862795.1	Dactylosporangium	Bacteria	GCA_042653625.1	94.60	60.86	congeneric	1
no_self_strain	GCA_016862795.1	Dactylosporangium	Bacteria	GCA_042653625.1	94.60	60.86	congeneric	1
novel_species	GCA_016862795.1	Dactylosporangium	Bacteria	GCA_042653625.1	94.60	60.86	congeneric	1
as_reported	GCA_016862815.1	Demequina	Bacteria	GCA_030418295.1	81.58	9.75	congeneric	1
no_self_strain	GCA_016862815.1	Demequina	Bacteria	GCA_030418295.1	81.58	9.75	congeneric	1
novel_species	GCA_016862815.1	Demequina	Bacteria	GCA_030418295.1	81.58	9.75	congeneric	1
as_reported	GCA_016881405.1	Deefgea	Bacteria	GCA_019665765.1	83.44	20.25	congeneric	1
no_self_strain	GCA_016881405.1	Deefgea	Bacteria	GCA_019665765.1	83.44	20.25	congeneric	1
novel_species	GCA_016881405.1	Deefgea	Bacteria	GCA_019665765.1	83.44	20.25	congeneric	1
as_reported	GCA_016908775.1	Defluviitalea	Bacteria	GCA_038396635.1	84.72	28.80	congeneric	1
no_self_strain	GCA_016908775.1	Defluviitalea	Bacteria	GCA_038396635.1	84.72	28.80	congeneric	1
novel_species	GCA_016908775.1	Defluviitalea	Bacteria	GCA_038396635.1	84.72	28.80	congeneric	1
as_reported	GCA_016918515.1	Desulfoprunum	Bacteria	GCA_014201505.1	99.98	94.24	same_species	1
no_self_strain	GCA_016918515.1	Desulfoprunum	Bacteria	GCA_014201505.1	99.98	94.24	same_species	1
as_reported	GCA_018524365.1	Nitrogeniibacter	Bacteria	GCA_007625155.1	85.01	26.73	congeneric	1
no_self_strain	GCA_018524365.1	Nitrogeniibacter	Bacteria	GCA_007625155.1	85.01	26.73	congeneric	1
novel_species	GCA_018524365.1	Nitrogeniibacter	Bacteria	GCA_007625155.1	85.01	26.73	congeneric	1
as_reported	GCA_018598175.1	Ohtaekwangia	Bacteria	GCA_021190955.1	91.20	64.94	congeneric	1
no_self_strain	GCA_018598175.1	Ohtaekwangia	Bacteria	GCA_021190955.1	91.20	64.94	congeneric	1
novel_species	GCA_018598175.1	Ohtaekwangia	Bacteria	GCA_021190955.1	91.20	64.94	congeneric	1
as_reported	GCA_018598185.1	Ohtaekwangia	Bacteria	GCA_018598175.1	84.81	28.86	congeneric	1
no_self_strain	GCA_018598185.1	Ohtaekwangia	Bacteria	GCA_018598175.1	84.81	28.86	congeneric	1
novel_species	GCA_018598185.1	Ohtaekwangia	Bacteria	GCA_018598175.1	84.81	28.86	congeneric	1
as_reported	GCA_018863415.1	Deinococcus	Bacteria	GCA_002869765.1	90.78	48.23	congeneric	1
no_self_strain	GCA_018863415.1	Deinococcus	Bacteria	GCA_002869765.1	90.78	48.23	congeneric	1
novel_species	GCA_018863415.1	Deinococcus	Bacteria	GCA_002869765.1	90.78	48.23	congeneric	1
as_reported	GCA_019665765.1	Deefgea	Bacteria	GCA_016881405.1	83.44	20.25	congeneric	1
no_self_strain	GCA_019665765.1	Deefgea	Bacteria	GCA_016881405.1	83.44	20.25	congeneric	1
novel_species	GCA_019665765.1	Deefgea	Bacteria	GCA_016881405.1	83.44	20.25	congeneric	1
as_reported	GCA_019693445.1	Deinococcus	Bacteria	GCA_020166415.1	93.83	59.79	congeneric	1
no_self_strain	GCA_019693445.1	Deinococcus	Bacteria	GCA_020166415.1	93.83	59.79	congeneric	1
novel_species	GCA_019693445.1	Deinococcus	Bacteria	GCA_020166415.1	93.83	59.79	congeneric	1
as_reported	GCA_019904175.1	Dactylosporangium	Bacteria	GCA_042428735.1	100.00	99.31	same_species	1
no_self_strain	GCA_019904175.1	Dactylosporangium	Bacteria	GCA_042428735.1	100.00	99.31	same_species	1
novel_species	GCA_019904175.1	Dactylosporangium	Bacteria	GCA_039537565.1	83.89	10.67	congeneric	1
as_reported	GCA_020166395.1	Deinococcus	Bacteria	GCA_009755355.1	95.28	80.55	same_species	1
no_self_strain	GCA_020166395.1	Deinococcus	Bacteria	GCA_009755355.1	95.28	80.55	same_species	1
novel_species	GCA_020166395.1	Deinococcus	Bacteria	GCA_042661365.1	82.22	8.70	congeneric	1
as_reported	GCA_020166415.1	Deinococcus	Bacteria	GCA_042661365.1	99.94	96.16	same_species	1
no_self_strain	GCA_020166415.1	Deinococcus	Bacteria	GCA_042661365.1	99.94	96.16	same_species	1
novel_species	GCA_020166415.1	Deinococcus	Bacteria	GCA_019693445.1	93.83	59.79	congeneric	1
as_reported	GCA_020229735.1	Deinococcus	Bacteria	GCA_009687825.1	83.31	11.07	congeneric	1
no_self_strain	GCA_020229735.1	Deinococcus	Bacteria	GCA_009687825.1	83.31	11.07	congeneric	1
novel_species	GCA_020229735.1	Deinococcus	Bacteria	GCA_009687825.1	83.31	11.07	congeneric	1
as_reported	GCA_020480685.1	Deferrivibrio	Bacteria	GCA_022813675.1	91.51	66.10	congeneric	1
no_self_strain	GCA_020480685.1	Deferrivibrio	Bacteria	GCA_022813675.1	91.51	66.10	congeneric	1
novel_species	GCA_020480685.1	Deferrivibrio	Bacteria	GCA_022813675.1	91.51	66.10	congeneric	1
as_reported	GCA_020531905.1	Deefgea	Bacteria	GCA_013284055.1	90.62	62.30	congeneric	1
no_self_strain	GCA_020531905.1	Deefgea	Bacteria	GCA_013284055.1	90.62	62.30	congeneric	1
novel_species	GCA_020531905.1	Deefgea	Bacteria	GCA_013284055.1	90.62	62.30	congeneric	1
as_reported	GCA_020546685.1	Deinococcus	Bacteria	GCA_045277105.1	100.00	99.87	same_strain	1
no_self_strain	GCA_020546685.1	Deinococcus	Bacteria	GCA_965136095.1	99.99	98.62	same_species	1
novel_species	GCA_020546685.1	Deinococcus	Bacteria	GCA_000478785.1	87.44	29.03	congeneric	1
as_reported	GCA_020546705.1	Deinococcus	Bacteria	GCA_045277105.1	100.00	97.98	same_strain	1
no_self_strain	GCA_020546705.1	Deinococcus	Bacteria	GCA_965136095.1	99.99	97.82	same_species	1
novel_species	GCA_020546705.1	Deinococcus	Bacteria	GCA_000478785.1	87.43	28.56	congeneric	1
as_reported	GCA_020595055.1	Desulfosporosinus	Bacteria	GCA_900129935.1	94.14	59.28	congeneric	1
no_self_strain	GCA_020595055.1	Desulfosporosinus	Bacteria	GCA_900129935.1	94.14	59.28	congeneric	1
novel_species	GCA_020595055.1	Desulfosporosinus	Bacteria	GCA_900129935.1	94.14	59.28	congeneric	1
as_reported	GCA_020736445.1	Dermabacter	Bacteria	GCA_002443115.1	100.00	99.03	same_species	1
no_self_strain	GCA_020736445.1	Dermabacter	Bacteria	GCA_002443115.1	100.00	99.03	same_species	1
novel_species	GCA_020736445.1	Dermabacter	Bacteria	GCA_001678905.1	88.28	42.97	congeneric	1
as_reported	GCA_020889625.1	Deinococcus	Bacteria	GCA_003966215.1	99.98	97.31	same_species	1
no_self_strain	GCA_020889625.1	Deinococcus	Bacteria	GCA_003966215.1	99.98	97.31	same_species	1
novel_species	GCA_020889625.1	Deinococcus	Bacteria	GCA_000190555.1	82.75	6.79	congeneric	1
as_reported	GCA_021654575.1	Desulfoluna	Bacteria	GCA_900101345.1	81.64	7.22	congeneric	1
no_self_strain	GCA_021654575.1	Desulfoluna	Bacteria	GCA_900101345.1	81.64	7.22	congeneric	1
novel_species	GCA_021654575.1	Desulfoluna	Bacteria	GCA_900101345.1	81.64	7.22	congeneric	1
as_reported	GCA_022012295.1	Azonexus	Bacteria	GCA_028864255.1	84.59	24.87	congeneric	1
no_self_strain	GCA_022012295.1	Azonexus	Bacteria	GCA_028864255.1	84.59	24.87	congeneric	1
novel_species	GCA_022012295.1	Azonexus	Bacteria	GCA_028864255.1	84.59	24.87	congeneric	1
as_reported	GCA_022813675.1	Deferrivibrio	Bacteria	GCA_020480685.1	91.51	66.10	congeneric	1
no_self_strain	GCA_022813675.1	Deferrivibrio	Bacteria	GCA_020480685.1	91.51	66.10	congeneric	1
novel_species	GCA_022813675.1	Deferrivibrio	Bacteria	GCA_020480685.1	91.51	66.10	congeneric	1
as_reported	GCA_023516215.1	Cytobacillus	Bacteria	GCA_001591465.1	89.22	39.99	congeneric	1
no_self_strain	GCA_023516215.1	Cytobacillus	Bacteria	GCA_001591465.1	89.22	39.99	congeneric	1
novel_species	GCA_023516215.1	Cytobacillus	Bacteria	GCA_001591465.1	89.22	39.99	congeneric	1
as_reported	GCA_025137375.1	Dactylosporangium	Bacteria	GCA_039521105.1	94.12	41.26	congeneric	1
no_self_strain	GCA_025137375.1	Dactylosporangium	Bacteria	GCA_039521105.1	94.12	41.26	congeneric	1
novel_species	GCA_025137375.1	Dactylosporangium	Bacteria	GCA_039521105.1	94.12	41.26	congeneric	1
as_reported	GCA_025244745.1	Deinococcus	Bacteria	GCA_039539945.1	99.99	67.41	same_species	1
no_self_strain	GCA_025244745.1	Deinococcus	Bacteria	GCA_039539945.1	99.99	67.41	same_species	1
novel_species	GCA_025244745.1	Deinococcus	Bacteria	GCA_009982895.1	87.24	30.10	congeneric	1
as_reported	GCA_025264685.1	Dactylosporangium	Bacteria	GCA_039521105.1	100.00	96.75	same_species	1
no_self_strain	GCA_025264685.1	Dactylosporangium	Bacteria	GCA_039521105.1	100.00	96.75	same_species	1
novel_species	GCA_025264685.1	Dactylosporangium	Bacteria	GCA_025137375.1	93.98	42.47	congeneric	1
as_reported	GCA_025264705.1	Dactylosporangium	Bacteria	GCA_029759805.1	100.00	99.38	same_species	1
no_self_strain	GCA_025264705.1	Dactylosporangium	Bacteria	GCA_029759805.1	100.00	99.38	same_species	1
novel_species	GCA_025264705.1	Dactylosporangium	Bacteria	GCA_042653625.1	88.35	27.43	congeneric	1
as_reported	GCA_025264725.1	Dactylosporangium	Bacteria	GCA_042428645.1	100.00	99.59	same_species	1
no_self_strain	GCA_025264725.1	Dactylosporangium	Bacteria	GCA_042428645.1	100.00	99.59	same_species	1
novel_species	GCA_025264725.1	Dactylosporangium	Bacteria	GCA_042675045.1	83.70	10.39	congeneric	1
as_reported	GCA_025997855.1	Deinococcus	Bacteria	GCA_039539825.1	99.99	98.87	same_species	1
no_self_strain	GCA_025997855.1	Deinococcus	Bacteria	GCA_039539825.1	99.99	98.87	same_species	1
novel_species	GCA_025997855.1	Deinococcus	Bacteria	GCA_002869765.1	88.91	40.22	congeneric	1
as_reported	GCA_026013545.1	Albidovulum	Bacteria	GCA_025673475.1	99.07	78.70	same_species	1
no_self_strain	GCA_026013545.1	Albidovulum	Bacteria	GCA_025673475.1	99.07	78.70	same_species	1
novel_species	GCA_026013545.1	Albidovulum	Bacteria	GCA_025751495.1	82.29	9.53	congeneric	1
as_reported	GCA_026155325.1	Desulfobotulus	Bacteria	GCA_006175995.1	85.76	11.60	congeneric	1
no_self_strain	GCA_026155325.1	Desulfobotulus	Bacteria	GCA_006175995.1	85.76	11.60	congeneric	1
novel_species	GCA_026155325.1	Desulfobotulus	Bacteria	GCA_006175995.1	85.76	11.60	congeneric	1
as_reported	GCA_026230175.1	Halodesulfovibrio	Bacteria	GCA_013340285.1	84.40	22.41	congeneric	1
no_self_strain	GCA_026230175.1	Halodesulfovibrio	Bacteria	GCA_013340285.1	84.40	22.41	congeneric	1
novel_species	GCA_026230175.1	Halodesulfovibrio	Bacteria	GCA_013340285.1	84.40	22.41	congeneric	1
as_reported	GCA_026410415.1	Denitratimonas	Bacteria	GCA_037478135.1	83.28	9.26	congeneric	1
no_self_strain	GCA_026410415.1	Denitratimonas	Bacteria	GCA_037478135.1	83.28	9.26	congeneric	1
novel_species	GCA_026410415.1	Denitratimonas	Bacteria	GCA_037478135.1	83.28	9.26	congeneric	1
as_reported	GCA_026948345.1	Dellaglioa	Bacteria	GCA_001434695.1	95.32	89.08	same_species	1
no_self_strain	GCA_026948345.1	Dellaglioa	Bacteria	GCA_001434695.1	95.32	89.08	same_species	1
novel_species	GCA_026948345.1	Dellaglioa	Bacteria	GCA_046115505.1	85.45	31.88	congeneric	1
as_reported	GCA_027922405.1	Dactylosporangium	Bacteria	GCA_025264725.1	99.99	89.48	same_species	1
no_self_strain	GCA_027922405.1	Dactylosporangium	Bacteria	GCA_025264725.1	99.99	89.48	same_species	1
novel_species	GCA_027922405.1	Dactylosporangium	Bacteria	GCA_042675045.1	83.75	10.17	congeneric	1
as_reported	GCA_028864255.1	Azonexus	Bacteria	GCA_022012295.1	84.59	24.87	congeneric	1
no_self_strain	GCA_028864255.1	Azonexus	Bacteria	GCA_022012295.1	84.59	24.87	congeneric	1
novel_species	GCA_028864255.1	Azonexus	Bacteria	GCA_022012295.1	84.59	24.87	congeneric	1
as_reported	GCA_029759805.1	Dactylosporangium	Bacteria	GCA_025264705.1	100.00	99.38	same_species	1
no_self_strain	GCA_029759805.1	Dactylosporangium	Bacteria	GCA_025264705.1	100.00	99.38	same_species	1
novel_species	GCA_029759805.1	Dactylosporangium	Bacteria	GCA_042653625.1	88.68	26.80	congeneric	1
as_reported	GCA_030161515.1	Deinococcus	Bacteria	GCA_014202095.1	100.00	99.83	same_species	1
no_self_strain	GCA_030161515.1	Deinococcus	Bacteria	GCA_014202095.1	100.00	99.83	same_species	1
novel_species	GCA_030161515.1	Deinococcus	Bacteria	GCA_039545055.1	85.18	21.32	congeneric	1
as_reported	GCA_030271215.1	Deinococcus	Bacteria	GCA_009377345.1	89.81	40.19	congeneric	1
no_self_strain	GCA_030271215.1	Deinococcus	Bacteria	GCA_009377345.1	89.81	40.19	congeneric	1
novel_species	GCA_030271215.1	Deinococcus	Bacteria	GCA_009377345.1	89.81	40.19	congeneric	1
as_reported	GCA_030296675.1	Demequina	Bacteria	GCA_039545075.1	99.98	96.52	same_species	1
no_self_strain	GCA_030296675.1	Demequina	Bacteria	GCA_039545075.1	99.98	96.52	same_species	1
novel_species	GCA_030296675.1	Demequina	Bacteria	GCA_000971255.1	82.89	13.76	congeneric	1
as_reported	GCA_030418295.1	Demequina	Bacteria	GCA_000975095.1	89.04	59.25	congeneric	1
no_self_strain	GCA_030418295.1	Demequina	Bacteria	GCA_000975095.1	89.04	59.25	congeneric	1
novel_species	GCA_030418295.1	Demequina	Bacteria	GCA_000975095.1	89.04	59.25	congeneric	1
as_reported	GCA_030418315.1	Demequina	Bacteria	GCA_000974805.1	83.12	13.96	congeneric	1
no_self_strain	GCA_030418315.1	Demequina	Bacteria	GCA_000974805.1	83.12	13.96	congeneric	1
novel_species	GCA_030418315.1	Demequina	Bacteria	GCA_000974805.1	83.12	13.96	congeneric	1
as_reported	GCA_030418375.1	Demequina	Bacteria	GCA_030418455.1	84.13	19.00	congeneric	1
no_self_strain	GCA_030418375.1	Demequina	Bacteria	GCA_030418455.1	84.13	19.00	congeneric	1
novel_species	GCA_030418375.1	Demequina	Bacteria	GCA_030418455.1	84.13	19.00	congeneric	1
as_reported	GCA_030418455.1	Demequina	Bacteria	GCA_000971255.1	90.93	65.21	congeneric	1
no_self_strain	GCA_030418455.1	Demequina	Bacteria	GCA_000971255.1	90.93	65.21	congeneric	1
novel_species	GCA_030418455.1	Demequina	Bacteria	GCA_000971255.1	90.93	65.21	congeneric	1
as_reported	GCA_030804085.1	Deinococcus	Bacteria	GCA_003444775.1	97.56	81.98	same_species	1
no_self_strain	GCA_030804085.1	Deinococcus	Bacteria	GCA_003444775.1	97.56	81.98	same_species	1
as_reported	GCA_030812975.1	Cytobacillus	Bacteria	GCA_042649545.1	100.00	99.86	same_species	1
no_self_strain	GCA_030812975.1	Cytobacillus	Bacteria	GCA_042649545.1	100.00	99.86	same_species	1
novel_species	GCA_030812975.1	Cytobacillus	Bacteria	GCA_014836495.1	92.27	72.93	congeneric	1
as_reported	GCA_030813795.1	Desulfofundulus	Bacteria	GCA_000214705.1	93.42	53.37	congeneric	1
no_self_strain	GCA_030813795.1	Desulfofundulus	Bacteria	GCA_000214705.1	93.42	53.37	congeneric	1
novel_species	GCA_030813795.1	Desulfofundulus	Bacteria	GCA_000214705.1	93.42	53.37	congeneric	1
as_reported	GCA_032102965.1	Demequina	Bacteria	GCA_030418315.1	82.64	16.94	congeneric	1
no_self_strain	GCA_032102965.1	Demequina	Bacteria	GCA_030418315.1	82.64	16.94	congeneric	1
novel_species	GCA_032102965.1	Demequina	Bacteria	GCA_030418315.1	82.64	16.94	congeneric	1
as_reported	GCA_033088415.1	Deinococcus	Bacteria	GCA_000701405.1	85.18	19.77	congeneric	1
no_self_strain	GCA_033088415.1	Deinococcus	Bacteria	GCA_000701405.1	85.18	19.77	congeneric	1
novel_species	GCA_033088415.1	Deinococcus	Bacteria	GCA_000701405.1	85.18	19.77	congeneric	1
as_reported	GCA_034541975.1	Dermacoccus	Bacteria	GCA_003515945.1	97.87	83.29	same_species	1
no_self_strain	GCA_034541975.1	Dermacoccus	Bacteria	GCA_003515945.1	97.87	83.29	same_species	1
novel_species	GCA_034541975.1	Dermacoccus	Bacteria	GCA_016766835.1	84.00	13.08	congeneric	1
as_reported	GCA_036543075.1	Deinococcus	Bacteria	GCA_018863415.1	84.20	15.04	congeneric	1
no_self_strain	GCA_036543075.1	Deinococcus	Bacteria	GCA_018863415.1	84.20	15.04	congeneric	1
novel_species	GCA_036543075.1	Deinococcus	Bacteria	GCA_018863415.1	84.20	15.04	congeneric	1
as_reported	GCA_037203605.1	Denitratimonas	Bacteria	GCA_037478135.1	80.97	6.60	congeneric	1
no_self_strain	GCA_037203605.1	Denitratimonas	Bacteria	GCA_037478135.1	80.97	6.60	congeneric	1
novel_species	GCA_037203605.1	Denitratimonas	Bacteria	GCA_037478135.1	80.97	6.60	congeneric	1
as_reported	GCA_037478135.1	Denitratimonas	Bacteria	GCA_026410415.1	83.28	9.26	congeneric	1
no_self_strain	GCA_037478135.1	Denitratimonas	Bacteria	GCA_026410415.1	83.28	9.26	congeneric	1
novel_species	GCA_037478135.1	Denitratimonas	Bacteria	GCA_026410415.1	83.28	9.26	congeneric	1
as_reported	GCA_038396635.1	Defluviitalea	Bacteria	GCA_016908775.1	84.72	28.80	congeneric	1
no_self_strain	GCA_038396635.1	Defluviitalea	Bacteria	GCA_016908775.1	84.72	28.80	congeneric	1
novel_species	GCA_038396635.1	Defluviitalea	Bacteria	GCA_016908775.1	84.72	28.80	congeneric	1
as_reported	GCA_039521105.1	Dactylosporangium	Bacteria	GCA_025264685.1	100.00	96.75	same_species	1
no_self_strain	GCA_039521105.1	Dactylosporangium	Bacteria	GCA_025264685.1	100.00	96.75	same_species	1
novel_species	GCA_039521105.1	Dactylosporangium	Bacteria	GCA_025137375.1	94.12	41.26	congeneric	1
as_reported	GCA_039522025.1	Deinococcus	Bacteria	GCA_039544955.1	100.00	95.83	same_species	1
no_self_strain	GCA_039522025.1	Deinococcus	Bacteria	GCA_039544955.1	100.00	95.83	same_species	1
novel_species	GCA_039522025.1	Deinococcus	Bacteria	GCA_039544935.1	91.77	51.85	congeneric	1
as_reported	GCA_039529985.1	Dermacoccus	Bacteria	GCA_039530005.1	98.95	90.78	same_species	1
no_self_strain	GCA_039529985.1	Dermacoccus	Bacteria	GCA_039530005.1	98.95	90.78	same_species	1
novel_species	GCA_039529985.1	Dermacoccus	Bacteria	GCA_016766835.1	84.34	14.63	congeneric	1
as_reported	GCA_039530005.1	Dermacoccus	Bacteria	GCA_003515945.1	99.98	99.10	same_species	1
no_self_strain	GCA_039530005.1	Dermacoccus	Bacteria	GCA_003515945.1	99.98	99.10	same_species	1
novel_species	GCA_039530005.1	Dermacoccus	Bacteria	GCA_016766835.1	83.84	13.84	congeneric	1
as_reported	GCA_039531485.1	Dactylosporangium	Bacteria	GCA_000716715.1	87.78	25.46	congeneric	1
no_self_strain	GCA_039531485.1	Dactylosporangium	Bacteria	GCA_000716715.1	87.78	25.46	congeneric	1
novel_species	GCA_039531485.1	Dactylosporangium	Bacteria	GCA_000716715.1	87.78	25.46	congeneric	1
as_reported	GCA_039532525.1	Dactylosporangium	Bacteria	GCA_042675045.1	86.03	20.16	congeneric	1
no_self_strain	GCA_039532525.1	Dactylosporangium	Bacteria	GCA_042675045.1	86.03	20.16	congeneric	1
novel_species	GCA_039532525.1	Dactylosporangium	Bacteria	GCA_042675045.1	86.03	20.16	congeneric	1
as_reported	GCA_039535355.1	Dactylosporangium	Bacteria	GCA_025264725.1	100.00	99.52	same_species	1
no_self_strain	GCA_039535355.1	Dactylosporangium	Bacteria	GCA_025264725.1	100.00	99.52	same_species	1
novel_species	GCA_039535355.1	Dactylosporangium	Bacteria	GCA_039532525.1	83.69	11.39	congeneric	1
as_reported	GCA_039537565.1	Dactylosporangium	Bacteria	GCA_042675045.1	99.97	98.81	same_species	1
no_self_strain	GCA_039537565.1	Dactylosporangium	Bacteria	GCA_042675045.1	99.97	98.81	same_species	1
novel_species	GCA_039537565.1	Dactylosporangium	Bacteria	GCA_039532525.1	85.88	20.52	congeneric	1
as_reported	GCA_039539825.1	Deinococcus	Bacteria	GCA_025997855.1	99.99	98.87	same_species	1
no_self_strain	GCA_039539825.1	Deinococcus	Bacteria	GCA_025997855.1	99.99	98.87	same_species	1
novel_species	GCA_039539825.1	Deinococcus	Bacteria	GCA_002869765.1	88.90	40.54	congeneric	1
as_reported	GCA_039539945.1	Deinococcus	Bacteria	GCA_025244745.1	99.99	67.41	same_species	1
no_self_strain	GCA_039539945.1	Deinococcus	Bacteria	GCA_025244745.1	99.99	67.41	same_species	1
novel_species	GCA_039539945.1	Deinococcus	Bacteria	GCA_009982895.1	87.31	34.21	congeneric	1
