acc_a	acc_b	sp_a	sp_b	same_species	mash_dist	ani_conv
GCA_026089295.1	GCA_031191795.1	Fusobacterium simiae	Fusobacterium nucleatum	0	0.103426	88.42
GCA_026089295.1	GCA_050920715.1	Fusobacterium simiae	Fusobacterium nucleatum	0	0.103426	88.42
GCA_026089295.1	GCA_964642115.1	Fusobacterium simiae	Fusobacterium nucleatum	0	0.103449	88.41
GCA_016724785.1	GCA_026089295.1	Fusobacterium canifelinum	Fusobacterium simiae	0	0.104901	88.25
GCA_026089295.1	GCA_055694045.1	Fusobacterium simiae	Fusobacterium abscessus	0	0.105740	88.16
GCA_000182945.1	GCA_026089295.1	Fusobacterium vincentii	Fusobacterium simiae	0	0.106103	88.12
GCA_001457555.1	GCA_026089295.1	Fusobacterium polymorphum	Fusobacterium simiae	0	0.106829	88.04
GCA_026089295.1	GCA_035320945.1	Fusobacterium simiae	Fusobacterium polymorphum	0	0.106829	88.04
GCA_026089295.1	GCA_037900625.1	Fusobacterium simiae	Fusobacterium polymorphum	0	0.106837	88.03
GCA_000153625.1	GCA_026089295.1	Fusobacterium polymorphum	Fusobacterium simiae	0	0.106861	88.03
GCA_026089295.1	GCA_050920725.1	Fusobacterium simiae	Fusobacterium polymorphum	0	0.106893	88.03
GCA_026089295.1	GCA_965278035.1	Fusobacterium simiae	Fusobacterium paranimalis	0	0.107519	87.96
GCA_003019675.1	GCA_900637705.1	Fusobacterium ulcerans	Fusobacterium varium	0	0.107592	87.95
GCA_000158315.2	GCA_900637705.1	Fusobacterium ulcerans	Fusobacterium varium	0	0.107625	87.95
GCA_000160475.1	GCA_001457555.1	Fusobacterium periodonticum	Fusobacterium polymorphum	0	0.110211	87.66
GCA_000160475.1	GCA_037900625.1	Fusobacterium periodonticum	Fusobacterium polymorphum	0	0.110228	87.65
GCA_000160475.1	GCA_035320945.1	Fusobacterium periodonticum	Fusobacterium polymorphum	0	0.110245	87.65
GCA_000160475.1	GCA_050920725.1	Fusobacterium periodonticum	Fusobacterium polymorphum	0	0.110245	87.65
GCA_000153625.1	GCA_000160475.1	Fusobacterium polymorphum	Fusobacterium periodonticum	0	0.110683	87.60
GCA_000292935.1	GCA_026089295.1	Fusobacterium hwasookii	Fusobacterium simiae	0	0.111268	87.54
GCA_014217355.1	GCA_026089295.1	Fusobacterium hwasookii	Fusobacterium simiae	0	0.111771	87.48
GCA_000160475.1	GCA_016724785.1	Fusobacterium periodonticum	Fusobacterium canifelinum	0	0.116730	86.93
GCA_000292935.1	GCA_002761955.1	Fusobacterium hwasookii	Fusobacterium pseudoperiodonticum	0	0.117464	86.84
GCA_002761955.1	GCA_014217355.1	Fusobacterium pseudoperiodonticum	Fusobacterium hwasookii	0	0.117754	86.81
GCA_001457555.1	GCA_002761955.1	Fusobacterium polymorphum	Fusobacterium pseudoperiodonticum	0	0.121798	86.36
GCA_002761955.1	GCA_037900625.1	Fusobacterium pseudoperiodonticum	Fusobacterium polymorphum	0	0.121798	86.36
GCA_002761955.1	GCA_050920725.1	Fusobacterium pseudoperiodonticum	Fusobacterium polymorphum	0	0.121798	86.36
GCA_002761955.1	GCA_035320945.1	Fusobacterium pseudoperiodonticum	Fusobacterium polymorphum	0	0.121855	86.35
GCA_000153625.1	GCA_002761955.1	Fusobacterium polymorphum	Fusobacterium pseudoperiodonticum	0	0.122381	86.29
GCA_002761955.1	GCA_016724785.1	Fusobacterium pseudoperiodonticum	Fusobacterium canifelinum	0	0.126240	85.86
GCA_002761955.1	GCA_056823795.1	Fusobacterium pseudoperiodonticum	Fusobacterium animalis	0	0.128388	85.62
GCA_000160475.1	GCA_037900345.1	Fusobacterium periodonticum	Fusobacterium nucleatum	0	0.128520	85.61
GCA_000160475.1	GCA_056333145.1	Fusobacterium periodonticum	Fusobacterium nucleatum	0	0.128533	85.60
GCA_000160475.1	GCA_003019295.1	Fusobacterium periodonticum	Fusobacterium nucleatum	0	0.128547	85.60
GCA_000160475.1	GCA_031191795.1	Fusobacterium periodonticum	Fusobacterium nucleatum	0	0.128560	85.60
GCA_000160475.1	GCA_050920715.1	Fusobacterium periodonticum	Fusobacterium nucleatum	0	0.128560	85.60
GCA_000160475.1	GCA_055694045.1	Fusobacterium periodonticum	Fusobacterium abscessus	0	0.128639	85.59
GCA_000160475.1	GCA_964642115.1	Fusobacterium periodonticum	Fusobacterium nucleatum	0	0.128639	85.59
GCA_000160475.1	GCA_000279975.1	Fusobacterium periodonticum	Fusobacterium vincentii	0	0.131246	85.30
GCA_000160475.1	GCA_900450795.1	Fusobacterium periodonticum	Fusobacterium vincentii	0	0.131400	85.28
GCA_000160475.1	GCA_049381025.1	Fusobacterium periodonticum	Fusobacterium watanabei	0	0.131840	85.23
GCA_000160475.1	GCA_965217535.1	Fusobacterium periodonticum	Fusobacterium watanabei	0	0.131840	85.23
GCA_000160475.1	GCA_056823795.1	Fusobacterium periodonticum	Fusobacterium animalis	0	0.132040	85.21
GCA_000160475.1	GCA_000182945.1	Fusobacterium periodonticum	Fusobacterium vincentii	0	0.133390	85.06
GCA_002761955.1	GCA_031191795.1	Fusobacterium pseudoperiodonticum	Fusobacterium nucleatum	0	0.133479	85.05
GCA_002761955.1	GCA_037900345.1	Fusobacterium pseudoperiodonticum	Fusobacterium nucleatum	0	0.133479	85.05
GCA_002761955.1	GCA_050920715.1	Fusobacterium pseudoperiodonticum	Fusobacterium nucleatum	0	0.133479	85.05
GCA_002761955.1	GCA_056333145.1	Fusobacterium pseudoperiodonticum	Fusobacterium nucleatum	0	0.133479	85.05
GCA_002761955.1	GCA_964642115.1	Fusobacterium pseudoperiodonticum	Fusobacterium nucleatum	0	0.133479	85.05
GCA_002761955.1	GCA_003019295.1	Fusobacterium pseudoperiodonticum	Fusobacterium nucleatum	0	0.133493	85.05
GCA_002761955.1	GCA_055694045.1	Fusobacterium pseudoperiodonticum	Fusobacterium abscessus	0	0.134058	84.99
GCA_002761955.1	GCA_900450795.1	Fusobacterium pseudoperiodonticum	Fusobacterium vincentii	0	0.134920	84.89
GCA_000279975.1	GCA_002761955.1	Fusobacterium vincentii	Fusobacterium pseudoperiodonticum	0	0.135829	84.79
GCA_000160475.1	GCA_965278035.1	Fusobacterium periodonticum	Fusobacterium paranimalis	0	0.136219	84.74
GCA_002761955.1	GCA_049381025.1	Fusobacterium pseudoperiodonticum	Fusobacterium watanabei	0	0.137348	84.62
GCA_002761955.1	GCA_965217535.1	Fusobacterium pseudoperiodonticum	Fusobacterium watanabei	0	0.137348	84.62
GCA_002761955.1	GCA_965278035.1	Fusobacterium pseudoperiodonticum	Fusobacterium paranimalis	0	0.138988	84.43
GCA_000182945.1	GCA_002761955.1	Fusobacterium vincentii	Fusobacterium pseudoperiodonticum	0	0.139205	84.41
GCA_002761955.1	GCA_026089295.1	Fusobacterium pseudoperiodonticum	Fusobacterium simiae	0	0.144184	83.85
GCA_000160475.1	GCA_026089295.1	Fusobacterium periodonticum	Fusobacterium simiae	0	0.144523	83.81
GCA_000292935.1	GCA_900095705.1	Fusobacterium hwasookii	Fusobacterium massiliense	0	0.154905	82.65
GCA_014217355.1	GCA_900095705.1	Fusobacterium hwasookii	Fusobacterium massiliense	0	0.155190	82.62
GCA_000182945.1	GCA_900095705.1	Fusobacterium vincentii	Fusobacterium massiliense	0	0.156939	82.42
GCA_001457555.1	GCA_900095705.1	Fusobacterium polymorphum	Fusobacterium massiliense	0	0.157138	82.40
GCA_035320945.1	GCA_900095705.1	Fusobacterium polymorphum	Fusobacterium massiliense	0	0.157138	82.40
GCA_037900625.1	GCA_900095705.1	Fusobacterium polymorphum	Fusobacterium massiliense	0	0.157138	82.40
GCA_050920725.1	GCA_900095705.1	Fusobacterium polymorphum	Fusobacterium massiliense	0	0.157138	82.40
GCA_003019695.1	GCA_008801775.1	Fusobacterium gonidiaformans	Fusobacterium necrophorum	0	0.157563	82.35
GCA_000262225.1	GCA_003019695.1	Fusobacterium necrophorum	Fusobacterium gonidiaformans	0	0.158169	82.29
GCA_000153625.1	GCA_900095705.1	Fusobacterium polymorphum	Fusobacterium massiliense	0	0.158220	82.28
GCA_000158835.2	GCA_008801775.1	Fusobacterium gonidiaformans	Fusobacterium necrophorum	0	0.159880	82.09
GCA_000158835.2	GCA_000262225.1	Fusobacterium gonidiaformans	Fusobacterium necrophorum	0	0.160331	82.04
GCA_900095705.1	GCA_964642115.1	Fusobacterium massiliense	Fusobacterium nucleatum	0	0.160411	82.03
GCA_037900345.1	GCA_900095705.1	Fusobacterium nucleatum	Fusobacterium massiliense	0	0.160545	82.02
GCA_056333145.1	GCA_900095705.1	Fusobacterium nucleatum	Fusobacterium massiliense	0	0.160545	82.02
GCA_003019295.1	GCA_900095705.1	Fusobacterium nucleatum	Fusobacterium massiliense	0	0.160572	82.02
GCA_031191795.1	GCA_900095705.1	Fusobacterium nucleatum	Fusobacterium massiliense	0	0.160598	82.01
GCA_050920715.1	GCA_900095705.1	Fusobacterium nucleatum	Fusobacterium massiliense	0	0.160598	82.01
GCA_002761955.1	GCA_900095705.1	Fusobacterium pseudoperiodonticum	Fusobacterium massiliense	0	0.161030	81.96
GCA_000160475.1	GCA_900095705.1	Fusobacterium periodonticum	Fusobacterium massiliense	0	0.162711	81.78
GCA_900095705.1	GCA_965278035.1	Fusobacterium massiliense	Fusobacterium paranimalis	0	0.162796	81.77
GCA_055694045.1	GCA_900095705.1	Fusobacterium abscessus	Fusobacterium massiliense	0	0.163504	81.69
GCA_016724785.1	GCA_900095705.1	Fusobacterium canifelinum	Fusobacterium massiliense	0	0.163705	81.67
GCA_003019695.1	GCA_900104395.1	Fusobacterium gonidiaformans	Fusobacterium necrophorum	0	0.163877	81.65
GCA_049381025.1	GCA_900095705.1	Fusobacterium watanabei	Fusobacterium massiliense	0	0.164750	81.55
GCA_900095705.1	GCA_965217535.1	Fusobacterium massiliense	Fusobacterium watanabei	0	0.164750	81.55
GCA_000158835.2	GCA_900104395.1	Fusobacterium gonidiaformans	Fusobacterium necrophorum	0	0.165311	81.49
GCA_056823795.1	GCA_900095705.1	Fusobacterium animalis	Fusobacterium massiliense	0	0.165969	81.41
GCA_000279975.1	GCA_900095705.1	Fusobacterium vincentii	Fusobacterium massiliense	0	0.167532	81.24
GCA_900095705.1	GCA_900450795.1	Fusobacterium massiliense	Fusobacterium vincentii	0	0.168700	81.11
GCA_026089295.1	GCA_900095705.1	Fusobacterium simiae	Fusobacterium massiliense	0	0.175803	80.31
GCA_000381725.1	GCA_900095285.1	Fusobacterium russii	Fusobacterium gastrosuis	0	0.186059	79.16
GCA_000381725.1	GCA_016724785.1	Fusobacterium russii	Fusobacterium canifelinum	0	0.201879	77.39
GCA_900095285.1	GCA_900095705.1	Fusobacterium gastrosuis	Fusobacterium massiliense	0	0.203267	77.23
GCA_055694045.1	GCA_900095285.1	Fusobacterium abscessus	Fusobacterium gastrosuis	0	0.205817	76.95
GCA_014337255.1	GCA_900450765.1	Fusobacterium hominis	Fusobacterium necrogenes	0	0.206315	76.89
GCA_000279975.1	GCA_900095285.1	Fusobacterium vincentii	Fusobacterium gastrosuis	0	0.206530	76.87
GCA_014217355.1	GCA_900095285.1	Fusobacterium hwasookii	Fusobacterium gastrosuis	0	0.206602	76.86
GCA_000292935.1	GCA_900095285.1	Fusobacterium hwasookii	Fusobacterium gastrosuis	0	0.206674	76.85
GCA_016724785.1	GCA_900095285.1	Fusobacterium canifelinum	Fusobacterium gastrosuis	0	0.206963	76.82
GCA_035320945.1	GCA_900095285.1	Fusobacterium polymorphum	Fusobacterium gastrosuis	0	0.207109	76.80
GCA_001457555.1	GCA_900095285.1	Fusobacterium polymorphum	Fusobacterium gastrosuis	0	0.207182	76.80
GCA_037900625.1	GCA_900095285.1	Fusobacterium polymorphum	Fusobacterium gastrosuis	0	0.207182	76.80
GCA_050920725.1	GCA_900095285.1	Fusobacterium polymorphum	Fusobacterium gastrosuis	0	0.207182	76.80
GCA_900095285.1	GCA_900450795.1	Fusobacterium gastrosuis	Fusobacterium vincentii	0	0.207990	76.71
GCA_003019295.1	GCA_900095285.1	Fusobacterium nucleatum	Fusobacterium gastrosuis	0	0.208663	76.63
GCA_031191795.1	GCA_900095285.1	Fusobacterium nucleatum	Fusobacterium gastrosuis	0	0.208663	76.63
GCA_037900345.1	GCA_900095285.1	Fusobacterium nucleatum	Fusobacterium gastrosuis	0	0.208663	76.63
GCA_050920715.1	GCA_900095285.1	Fusobacterium nucleatum	Fusobacterium gastrosuis	0	0.208663	76.63
GCA_056333145.1	GCA_900095285.1	Fusobacterium nucleatum	Fusobacterium gastrosuis	0	0.208663	76.63
GCA_900095285.1	GCA_964642115.1	Fusobacterium gastrosuis	Fusobacterium nucleatum	0	0.208738	76.62
GCA_049381025.1	GCA_900095285.1	Fusobacterium watanabei	Fusobacterium gastrosuis	0	0.208813	76.61
GCA_900095285.1	GCA_965217535.1	Fusobacterium gastrosuis	Fusobacterium watanabei	0	0.208813	76.61
GCA_000381725.1	GCA_900450795.1	Fusobacterium russii	Fusobacterium vincentii	0	0.209574	76.53
GCA_000381725.1	GCA_964642115.1	Fusobacterium russii	Fusobacterium nucleatum	0	0.209651	76.52
GCA_000153625.1	GCA_900095285.1	Fusobacterium polymorphum	Fusobacterium gastrosuis	0	0.209882	76.49
GCA_000381725.1	GCA_003019295.1	Fusobacterium russii	Fusobacterium nucleatum	0	0.209959	76.48
GCA_000381725.1	GCA_055694045.1	Fusobacterium russii	Fusobacterium abscessus	0	0.209959	76.48
GCA_000381725.1	GCA_037900345.1	Fusobacterium russii	Fusobacterium nucleatum	0	0.210037	76.48
GCA_000381725.1	GCA_031191795.1	Fusobacterium russii	Fusobacterium nucleatum	0	0.210114	76.47
GCA_000381725.1	GCA_050920715.1	Fusobacterium russii	Fusobacterium nucleatum	0	0.210114	76.47
GCA_000381725.1	GCA_056333145.1	Fusobacterium russii	Fusobacterium nucleatum	0	0.210114	76.47
GCA_026089295.1	GCA_900095285.1	Fusobacterium simiae	Fusobacterium gastrosuis	0	0.210504	76.42
GCA_056823795.1	GCA_900095285.1	Fusobacterium animalis	Fusobacterium gastrosuis	0	0.210897	76.38
GCA_000381725.1	GCA_049381025.1	Fusobacterium russii	Fusobacterium watanabei	0	0.210976	76.37
GCA_000381725.1	GCA_965217535.1	Fusobacterium russii	Fusobacterium watanabei	0	0.210976	76.37
GCA_000182945.1	GCA_900095285.1	Fusobacterium vincentii	Fusobacterium gastrosuis	0	0.211055	76.36
GCA_000292935.1	GCA_000381725.1	Fusobacterium hwasookii	Fusobacterium russii	0	0.211532	76.31
GCA_000381725.1	GCA_014217355.1	Fusobacterium russii	Fusobacterium hwasookii	0	0.211853	76.27
GCA_000381725.1	GCA_035320945.1	Fusobacterium russii	Fusobacterium polymorphum	0	0.212829	76.16
GCA_000381725.1	GCA_001457555.1	Fusobacterium russii	Fusobacterium polymorphum	0	0.212912	76.15
GCA_000381725.1	GCA_037900625.1	Fusobacterium russii	Fusobacterium polymorphum	0	0.212912	76.15
GCA_000381725.1	GCA_050920725.1	Fusobacterium russii	Fusobacterium polymorphum	0	0.212994	76.14
GCA_000153625.1	GCA_000381725.1	Fusobacterium polymorphum	Fusobacterium russii	0	0.213242	76.12
GCA_900095285.1	GCA_965278035.1	Fusobacterium gastrosuis	Fusobacterium paranimalis	0	0.213742	76.06
GCA_000381725.1	GCA_900095705.1	Fusobacterium russii	Fusobacterium massiliense	0	0.213994	76.03
GCA_000279975.1	GCA_000381725.1	Fusobacterium vincentii	Fusobacterium russii	0	0.214079	76.02
GCA_002761955.1	GCA_900095285.1	Fusobacterium pseudoperiodonticum	Fusobacterium gastrosuis	0	0.214673	75.96
GCA_000381725.1	GCA_965278035.1	Fusobacterium russii	Fusobacterium paranimalis	0	0.215536	75.86
GCA_002761955.1	GCA_014337255.1	Fusobacterium pseudoperiodonticum	Fusobacterium hominis	0	0.215973	75.81
GCA_000381725.1	GCA_056823795.1	Fusobacterium russii	Fusobacterium animalis	0	0.215973	75.81
GCA_000182945.1	GCA_000381725.1	Fusobacterium vincentii	Fusobacterium russii	0	0.216503	75.75
GCA_000381725.1	GCA_026089295.1	Fusobacterium russii	Fusobacterium simiae	0	0.217491	75.64
GCA_000160475.1	GCA_900095285.1	Fusobacterium periodonticum	Fusobacterium gastrosuis	0	0.218039	75.58
GCA_000160475.1	GCA_000381725.1	Fusobacterium periodonticum	Fusobacterium russii	0	0.219816	75.38
GCA_000381725.1	GCA_002761955.1	Fusobacterium russii	Fusobacterium pseudoperiodonticum	0	0.222464	75.08
GCA_900450765.1	GCA_900637705.1	Fusobacterium necrogenes	Fusobacterium varium	0	0.224315	74.88
GCA_014337255.1	GCA_900637705.1	Fusobacterium hominis	Fusobacterium varium	0	0.228478	74.41
GCA_000158315.2	GCA_014337255.1	Fusobacterium ulcerans	Fusobacterium hominis	0	0.232668	73.94
GCA_003019675.1	GCA_014337255.1	Fusobacterium ulcerans	Fusobacterium hominis	0	0.232668	73.94
GCA_000158315.2	GCA_900450765.1	Fusobacterium ulcerans	Fusobacterium necrogenes	0	0.232919	73.91
GCA_003019675.1	GCA_900450765.1	Fusobacterium ulcerans	Fusobacterium necrogenes	0	0.232919	73.91
GCA_000622245.1	GCA_900450765.1	Fusobacterium perfoetens	Fusobacterium necrogenes	0	0.245208	72.54
GCA_014337255.1	GCA_900095285.1	Fusobacterium hominis	Fusobacterium gastrosuis	0	0.245865	72.46
GCA_003019695.1	GCA_964642115.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.246531	72.39
GCA_003019295.1	GCA_003019695.1	Fusobacterium nucleatum	Fusobacterium gonidiaformans	0	0.246699	72.37
GCA_003019695.1	GCA_031191795.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.246699	72.37
GCA_003019695.1	GCA_037900345.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.246699	72.37
GCA_003019695.1	GCA_050920715.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.246699	72.37
GCA_003019695.1	GCA_056333145.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.246699	72.37
GCA_000622245.1	GCA_014337255.1	Fusobacterium perfoetens	Fusobacterium hominis	0	0.247207	72.31
GCA_003019695.1	GCA_049381025.1	Fusobacterium gonidiaformans	Fusobacterium watanabei	0	0.247721	72.26
GCA_003019695.1	GCA_965217535.1	Fusobacterium gonidiaformans	Fusobacterium watanabei	0	0.247721	72.26
GCA_003019695.1	GCA_055694045.1	Fusobacterium gonidiaformans	Fusobacterium abscessus	0	0.247893	72.24
GCA_003019695.1	GCA_900095705.1	Fusobacterium gonidiaformans	Fusobacterium massiliense	0	0.248941	72.12
GCA_014337255.1	GCA_900095705.1	Fusobacterium hominis	Fusobacterium massiliense	0	0.248941	72.12
GCA_003019695.1	GCA_016724785.1	Fusobacterium gonidiaformans	Fusobacterium canifelinum	0	0.250012	72.00
GCA_000622245.1	GCA_900637705.1	Fusobacterium perfoetens	Fusobacterium varium	0	0.251108	71.88
GCA_000279975.1	GCA_003019695.1	Fusobacterium vincentii	Fusobacterium gonidiaformans	0	0.252610	71.71
GCA_000158835.2	GCA_003019295.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.253186	71.64
GCA_000158835.2	GCA_031191795.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.253186	71.64
GCA_000158835.2	GCA_037900345.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.253186	71.64
GCA_000158835.2	GCA_050920715.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.253186	71.64
GCA_000158835.2	GCA_056333145.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.253186	71.64
GCA_000158835.2	GCA_964642115.1	Fusobacterium gonidiaformans	Fusobacterium nucleatum	0	0.253186	71.64
GCA_014337255.1	GCA_049381025.1	Fusobacterium hominis	Fusobacterium watanabei	0	0.253769	71.58
GCA_014337255.1	GCA_965217535.1	Fusobacterium hominis	Fusobacterium watanabei	0	0.253769	71.58
GCA_056823795.1	GCA_900104395.1	Fusobacterium animalis	Fusobacterium necrophorum	0	0.253965	71.56
GCA_003019695.1	GCA_900450795.1	Fusobacterium gonidiaformans	Fusobacterium vincentii	0	0.253965	71.56
GCA_000279975.1	GCA_014337255.1	Fusobacterium vincentii	Fusobacterium hominis	0	0.254161	71.53
GCA_014337255.1	GCA_056333145.1	Fusobacterium hominis	Fusobacterium nucleatum	0	0.254161	71.53
GCA_900095705.1	GCA_900637705.1	Fusobacterium massiliense	Fusobacterium varium	0	0.254161	71.53
GCA_003019295.1	GCA_014337255.1	Fusobacterium nucleatum	Fusobacterium hominis	0	0.254359	71.51
GCA_014337255.1	GCA_031191795.1	Fusobacterium hominis	Fusobacterium nucleatum	0	0.254557	71.49
GCA_014337255.1	GCA_037900345.1	Fusobacterium hominis	Fusobacterium nucleatum	0	0.254557	71.49
GCA_014337255.1	GCA_050920715.1	Fusobacterium hominis	Fusobacterium nucleatum	0	0.254557	71.49
GCA_000158835.2	GCA_055694045.1	Fusobacterium gonidiaformans	Fusobacterium abscessus	0	0.254557	71.49
GCA_000158835.2	GCA_049381025.1	Fusobacterium gonidiaformans	Fusobacterium watanabei	0	0.254756	71.47
GCA_014337255.1	GCA_964642115.1	Fusobacterium hominis	Fusobacterium nucleatum	0	0.254756	71.47
GCA_000158835.2	GCA_965217535.1	Fusobacterium gonidiaformans	Fusobacterium watanabei	0	0.254756	71.47
GCA_001457555.1	GCA_003019695.1	Fusobacterium polymorphum	Fusobacterium gonidiaformans	0	0.254956	71.44
GCA_003019695.1	GCA_035320945.1	Fusobacterium gonidiaformans	Fusobacterium polymorphum	0	0.254956	71.44
GCA_003019695.1	GCA_037900625.1	Fusobacterium gonidiaformans	Fusobacterium polymorphum	0	0.254956	71.44
GCA_003019695.1	GCA_050920725.1	Fusobacterium gonidiaformans	Fusobacterium polymorphum	0	0.254956	71.44
GCA_000622245.1	GCA_055694045.1	Fusobacterium perfoetens	Fusobacterium abscessus	0	0.255157	71.42
GCA_003019695.1	GCA_900095285.1	Fusobacterium gonidiaformans	Fusobacterium gastrosuis	0	0.255359	71.40
GCA_900095705.1	GCA_900450765.1	Fusobacterium massiliense	Fusobacterium necrogenes	0	0.255562	71.38
GCA_003019695.1	GCA_965278035.1	Fusobacterium gonidiaformans	Fusobacterium paranimalis	0	0.255562	71.38
GCA_001457555.1	GCA_014337255.1	Fusobacterium polymorphum	Fusobacterium hominis	0	0.255765	71.35
GCA_014337255.1	GCA_035320945.1	Fusobacterium hominis	Fusobacterium polymorphum	0	0.255765	71.35
GCA_014337255.1	GCA_037900625.1	Fusobacterium hominis	Fusobacterium polymorphum	0	0.255765	71.35
GCA_014337255.1	GCA_050920725.1	Fusobacterium hominis	Fusobacterium polymorphum	0	0.255765	71.35
GCA_014217355.1	GCA_014337255.1	Fusobacterium hwasookii	Fusobacterium hominis	0	0.255969	71.33
GCA_000292935.1	GCA_014337255.1	Fusobacterium hwasookii	Fusobacterium hominis	0	0.256175	71.31
GCA_000622245.1	GCA_016724785.1	Fusobacterium perfoetens	Fusobacterium canifelinum	0	0.256381	71.29
GCA_014337255.1	GCA_016724785.1	Fusobacterium hominis	Fusobacterium canifelinum	0	0.256381	71.29
GCA_003019695.1	GCA_056823795.1	Fusobacterium gonidiaformans	Fusobacterium animalis	0	0.256381	71.29
GCA_014337255.1	GCA_900450795.1	Fusobacterium hominis	Fusobacterium vincentii	0	0.256381	71.29
GCA_003019695.1	GCA_014217355.1	Fusobacterium gonidiaformans	Fusobacterium hwasookii	0	0.256796	71.24
GCA_000292935.1	GCA_003019695.1	Fusobacterium hwasookii	Fusobacterium gonidiaformans	0	0.257005	71.22
GCA_014337255.1	GCA_055694045.1	Fusobacterium hominis	Fusobacterium abscessus	0	0.257005	71.22
GCA_000279975.1	GCA_000622245.1	Fusobacterium vincentii	Fusobacterium perfoetens	0	0.257214	71.19
GCA_000292935.1	GCA_000622245.1	Fusobacterium hwasookii	Fusobacterium perfoetens	0	0.257214	71.19
GCA_000622245.1	GCA_014217355.1	Fusobacterium perfoetens	Fusobacterium hwasookii	0	0.257425	71.17
GCA_000158835.2	GCA_016724785.1	Fusobacterium gonidiaformans	Fusobacterium canifelinum	0	0.257425	71.17
GCA_000622245.1	GCA_049381025.1	Fusobacterium perfoetens	Fusobacterium watanabei	0	0.257425	71.17
GCA_000622245.1	GCA_900095705.1	Fusobacterium perfoetens	Fusobacterium massiliense	0	0.257425	71.17
GCA_000622245.1	GCA_965217535.1	Fusobacterium perfoetens	Fusobacterium watanabei	0	0.257425	71.17
GCA_000182945.1	GCA_003019695.1	Fusobacterium vincentii	Fusobacterium gonidiaformans	0	0.257637	71.14
GCA_000622245.1	GCA_900450795.1	Fusobacterium perfoetens	Fusobacterium vincentii	0	0.257849	71.12
GCA_900095285.1	GCA_900450765.1	Fusobacterium gastrosuis	Fusobacterium necrogenes	0	0.258063	71.10
GCA_000182945.1	GCA_014337255.1	Fusobacterium vincentii	Fusobacterium hominis	0	0.258493	71.05
GCA_000158835.2	GCA_900095705.1	Fusobacterium gonidiaformans	Fusobacterium massiliense	0	0.259585	70.93
GCA_000158315.2	GCA_000622245.1	Fusobacterium ulcerans	Fusobacterium perfoetens	0	0.259807	70.90
GCA_000622245.1	GCA_003019675.1	Fusobacterium perfoetens	Fusobacterium ulcerans	0	0.259807	70.90
GCA_000153625.1	GCA_003019695.1	Fusobacterium polymorphum	Fusobacterium gonidiaformans	0	0.259807	70.90
GCA_000622245.1	GCA_002761955.1	Fusobacterium perfoetens	Fusobacterium pseudoperiodonticum	0	0.260029	70.88
GCA_049381025.1	GCA_900450765.1	Fusobacterium watanabei	Fusobacterium necrogenes	0	0.260029	70.88
GCA_900450765.1	GCA_965217535.1	Fusobacterium necrogenes	Fusobacterium watanabei	0	0.260029	70.88
GCA_000153625.1	GCA_014337255.1	Fusobacterium polymorphum	Fusobacterium hominis	0	0.260253	70.85
GCA_000160475.1	GCA_014337255.1	Fusobacterium periodonticum	Fusobacterium hominis	0	0.260253	70.85
GCA_000158835.2	GCA_000279975.1	Fusobacterium gonidiaformans	Fusobacterium vincentii	0	0.260478	70.83
GCA_002761955.1	GCA_003019695.1	Fusobacterium pseudoperiodonticum	Fusobacterium gonidiaformans	0	0.260478	70.83
GCA_000160475.1	GCA_003019695.1	Fusobacterium periodonticum	Fusobacterium gonidiaformans	0	0.260703	70.80
GCA_000622245.1	GCA_900095285.1	Fusobacterium perfoetens	Fusobacterium gastrosuis	0	0.260703	70.80
GCA_000292935.1	GCA_900637705.1	Fusobacterium hwasookii	Fusobacterium varium	0	0.260930	70.78
GCA_000182945.1	GCA_000622245.1	Fusobacterium vincentii	Fusobacterium perfoetens	0	0.261158	70.75
GCA_014217355.1	GCA_900637705.1	Fusobacterium hwasookii	Fusobacterium varium	0	0.261158	70.75
GCA_014337255.1	GCA_965278035.1	Fusobacterium hominis	Fusobacterium paranimalis	0	0.261158	70.75
GCA_000158835.2	GCA_900450795.1	Fusobacterium gonidiaformans	Fusobacterium vincentii	0	0.261387	70.72
GCA_000622245.1	GCA_056823795.1	Fusobacterium perfoetens	Fusobacterium animalis	0	0.261617	70.70
GCA_000622245.1	GCA_056333145.1	Fusobacterium perfoetens	Fusobacterium nucleatum	0	0.262081	70.65
GCA_014337255.1	GCA_056823795.1	Fusobacterium hominis	Fusobacterium animalis	0	0.262314	70.62
GCA_000622245.1	GCA_964642115.1	Fusobacterium perfoetens	Fusobacterium nucleatum	0	0.262314	70.62
GCA_000622245.1	GCA_003019295.1	Fusobacterium perfoetens	Fusobacterium nucleatum	0	0.262549	70.59
